age,revenu_mensuel,anciennete_mois,nb_achats,montant_total,nb_reclamations,canal_acquisition,type_contrat,satisfaction_score,churn
25,1800.50,6,3,245.00,2,Web,CDD,2,1
34,2450.00,24,15,1250.75,0,Magasin,CDI,5,0
42,3200.00,36,28,3450.00,1,Magasin,CDI,4,0
28,1950.00,12,5,420.50,3,Web,CDD,1,1
55,4100.00,48,42,5200.00,0,Telephone,CDI,5,0
31,2100.00,8,4,310.00,2,Web,Freelance,2,1
47,3600.00,60,55,6800.50,1,Magasin,CDI,4,0
23,1600.00,3,2,150.00,1,Web,CDD,3,1
38,2800.00,30,22,2100.00,0,Telephone,CDI,5,0
52,3900.00,42,38,4500.00,0,Magasin,CDI,4,0
26,1750.00,5,3,200.00,3,Web,CDD,1,1
44,3400.00,36,30,3200.00,1,Magasin,CDI,4,0
33,2300.00,18,10,890.00,2,Web,Freelance,2,1
50,3800.00,54,48,5900.00,0,Telephone,CDI,5,0
29,2000.00,9,6,450.00,1,Web,CDD,3,0
61,4500.00,72,65,8200.00,0,Magasin,CDI,5,0
36,2600.00,20,12,980.00,2,Telephone,CDI,3,0
27,1850.00,7,4,280.00,3,Web,CDD,2,1
45,3500.00,40,35,4100.00,0,Magasin,CDI,4,0
22,1500.00,2,1,85.00,2,Web,CDD,2,1
39,2900.00,28,20,1850.00,1,Magasin,CDI,4,0
48,3700.00,48,44,5500.00,0,Telephone,CDI,5,0
30,2050.00,10,7,520.00,2,Web,Freelance,2,1
56,4200.00,60,52,6400.00,1,Magasin,CDI,4,0
35,2500.00,15,9,780.00,1,Web,CDI,3,0
24,1650.00,4,2,160.00,2,Web,CDD,2,1
41,3100.00,32,25,2800.00,0,Magasin,CDI,5,0
53,4000.00,50,45,5600.00,0,Telephone,CDI,4,0
32,2200.00,14,8,680.00,3,Web,Freelance,1,1
58,4300.00,66,58,7200.00,0,Magasin,CDI,5,0
37,2700.00,22,14,1100.00,1,Telephone,CDI,3,0
46,3550.00,38,32,3800.00,0,Magasin,CDI,4,0
26,1800.00,6,3,220.00,2,Web,CDD,2,1
43,3300.00,34,27,3000.00,1,Magasin,CDI,4,0
51,3850.00,46,40,4800.00,0,Telephone,CDI,5,0
28,1900.00,8,5,380.00,3,Web,CDD,1,1
60,4450.00,70,62,7800.00,0,Magasin,CDI,5,0
34,2400.00,16,11,920.00,1,Web,CDI,3,0
49,3750.00,44,36,4300.00,0,Magasin,CDI,4,0
23,1550.00,3,1,100.00,2,Web,CDD,2,1
40,3000.00,30,23,2200.00,0,Telephone,CDI,5,0
54,4050.00,52,47,5800.00,0,Magasin,CDI,4,0
31,2150.00,11,6,500.00,2,Web,Freelance,2,1
57,4250.00,62,55,6900.00,1,Magasin,CDI,4,0
36,2550.00,18,10,850.00,1,Telephone,CDI,3,0
25,1700.00,5,3,210.00,3,Web,CDD,1,1
44,3450.00,36,29,3100.00,0,Magasin,CDI,5,0
29,1950.00,9,5,400.00,2,Web,CDD,2,1
47,3650.00,42,37,4200.00,0,Telephone,CDI,4,0
62,4600.00,74,68,8500.00,0,Magasin,CDI,5,0
33,2250.00,13,8,650.00,1,Web,Freelance,3,0
38,2850.00,26,18,1600.00,0,Magasin,CDI,4,0
27,1850.00,7,4,300.00,3,Web,CDD,1,1
50,3800.00,48,42,5100.00,0,Telephone,CDI,5,0
42,3200.00,34,26,2900.00,1,Magasin,CDI,4,0
24,1600.00,4,2,140.00,2,Web,CDD,2,1
55,4150.00,56,50,6200.00,0,Magasin,CDI,4,0
35,2500.00,20,13,1050.00,2,Telephone,CDI,3,0
30,2050.00,10,6,480.00,2,Web,Freelance,2,1
48,3700.00,44,38,4500.00,0,Magasin,CDI,5,0
39,2950.00,28,20,1900.00,0,Telephone,CDI,4,0
26,1750.00,5,3,190.00,3,Web,CDD,1,1
52,3950.00,50,44,5400.00,0,Magasin,CDI,4,0
37,2650.00,22,15,1200.00,1,Web,CDI,3,0
46,3600.00,40,34,3900.00,0,Magasin,CDI,5,0
22,1450.00,2,1,75.00,2,Web,CDD,2,1
59,4400.00,68,60,7500.00,0,Magasin,CDI,5,0
32,2200.00,12,7,580.00,2,Web,Freelance,2,1
43,3350.00,36,28,3050.00,1,Magasin,CDI,4,0
28,1900.00,8,4,340.00,3,Web,CDD,1,1
54,4100.00,54,49,5700.00,0,Telephone,CDI,4,0
41,3050.00,32,24,2600.00,0,Magasin,CDI,5,0
25,1700.00,6,3,230.00,2,Web,CDD,2,1
56,4200.00,58,52,6500.00,0,Magasin,CDI,4,0
34,2400.00,16,10,880.00,1,Telephone,CDI,3,0
49,3750.00,46,40,4700.00,0,Magasin,CDI,4,0
23,1550.00,3,2,120.00,2,Web,CDD,3,1
61,4500.00,72,64,8100.00,0,Telephone,CDI,5,0
38,2800.00,24,16,1400.00,1,Magasin,CDI,4,0
27,1800.00,7,4,270.00,3,Web,CDD,1,1
45,3500.00,38,33,3700.00,0,Magasin,CDI,5,0
31,2100.00,10,6,460.00,2,Web,Freelance,2,1
53,4000.00,52,46,5500.00,0,Telephone,CDI,4,0
40,3000.00,30,22,2300.00,0,Magasin,CDI,4,0
29,1950.00,9,5,380.00,2,Web,CDD,2,1
57,4300.00,64,56,7000.00,0,Magasin,CDI,5,0
36,2600.00,20,12,1000.00,1,Telephone,CDI,3,0
47,3650.00,42,36,4100.00,0,Magasin,CDI,4,0
24,1650.00,4,2,150.00,3,Web,CDD,1,1
51,3850.00,48,41,4900.00,0,Telephone,CDI,5,0
33,2300.00,14,9,720.00,2,Web,Freelance,2,1
58,4350.00,66,58,7300.00,0,Magasin,CDI,5,0
42,3150.00,34,26,2850.00,1,Magasin,CDI,4,0
26,1750.00,6,3,200.00,3,Web,CDD,1,1
55,4150.00,56,50,6100.00,0,Magasin,CDI,4,0
35,2500.00,18,11,900.00,1,Web,CDI,3,0
48,3700.00,44,38,4400.00,0,Telephone,CDI,5,0
