surface_m2,nb_pieces,etage,parking,ville,annee_construction,prix
25,1,5,0,Paris,1975,185000
32,1,3,0,Paris,1982,210000
45,2,2,1,Paris,1990,320000
55,2,4,0,Paris,1968,295000
70,3,1,1,Paris,2005,480000
85,3,6,1,Paris,2010,530000
95,4,0,1,Paris,1995,550000
120,5,2,1,Paris,2015,720000
42,2,0,1,Paris,2000,290000
60,3,3,0,Paris,1988,350000
30,1,2,0,Lyon,1980,125000
48,2,1,1,Lyon,1995,175000
65,3,0,1,Lyon,2002,230000
75,3,4,0,Lyon,1970,195000
90,4,2,1,Lyon,2008,310000
110,5,1,1,Lyon,2012,380000
55,2,3,0,Lyon,1985,165000
40,2,0,0,Lyon,1992,140000
80,3,5,1,Lyon,2018,340000
100,4,1,1,Lyon,2000,295000
28,1,1,0,Marseille,1978,95000
38,2,0,0,Marseille,1985,115000
52,2,3,1,Marseille,1998,155000
68,3,2,1,Marseille,2005,210000
82,3,0,1,Marseille,2010,245000
95,4,1,1,Marseille,2015,290000
45,2,4,0,Marseille,1972,120000
60,3,2,0,Marseille,1990,165000
105,4,0,1,Marseille,2020,320000
35,1,5,0,Marseille,1982,100000
33,1,0,0,Toulouse,1988,105000
50,2,2,1,Toulouse,1996,160000
62,3,1,1,Toulouse,2003,210000
78,3,3,0,Toulouse,1975,185000
88,4,0,1,Toulouse,2010,265000
102,4,2,1,Toulouse,2016,320000
42,2,1,0,Toulouse,1992,135000
70,3,4,0,Toulouse,1980,190000
115,5,0,1,Toulouse,2019,370000
56,2,2,1,Toulouse,2000,175000
35,1,3,0,Nantes,1985,115000
47,2,1,1,Nantes,1998,155000
58,2,0,0,Nantes,1990,145000
72,3,2,1,Nantes,2006,235000
83,3,0,1,Nantes,2012,260000
98,4,1,1,Nantes,2017,310000
40,2,4,0,Nantes,1977,125000
66,3,3,0,Nantes,1995,195000
108,5,0,1,Nantes,2020,355000
52,2,2,1,Nantes,2001,170000
