date_id,date,annee,trimestre,mois,nom_mois,jour,jour_semaine,est_weekend
20230101,2023-01-01,2023,T1,1,janvier,1,dimanche,1
20230102,2023-01-02,2023,T1,1,janvier,2,lundi,0
20230103,2023-01-03,2023,T1,1,janvier,3,mardi,0
20230104,2023-01-04,2023,T1,1,janvier,4,mercredi,0
20230105,2023-01-05,2023,T1,1,janvier,5,jeudi,0
20230106,2023-01-06,2023,T1,1,janvier,6,vendredi,0
20230107,2023-01-07,2023,T1,1,janvier,7,samedi,1
20230108,2023-01-08,2023,T1,1,janvier,8,dimanche,1
20230109,2023-01-09,2023,T1,1,janvier,9,lundi,0
20230110,2023-01-10,2023,T1,1,janvier,10,mardi,0
20230111,2023-01-11,2023,T1,1,janvier,11,mercredi,0
20230112,2023-01-12,2023,T1,1,janvier,12,jeudi,0
20230113,2023-01-13,2023,T1,1,janvier,13,vendredi,0
20230114,2023-01-14,2023,T1,1,janvier,14,samedi,1
20230115,2023-01-15,2023,T1,1,janvier,15,dimanche,1
20230116,2023-01-16,2023,T1,1,janvier,16,lundi,0
20230117,2023-01-17,2023,T1,1,janvier,17,mardi,0
20230118,2023-01-18,2023,T1,1,janvier,18,mercredi,0
20230119,2023-01-19,2023,T1,1,janvier,19,jeudi,0
20230120,2023-01-20,2023,T1,1,janvier,20,vendredi,0
20230121,2023-01-21,2023,T1,1,janvier,21,samedi,1
20230122,2023-01-22,2023,T1,1,janvier,22,dimanche,1
20230123,2023-01-23,2023,T1,1,janvier,23,lundi,0
20230124,2023-01-24,2023,T1,1,janvier,24,mardi,0
20230125,2023-01-25,2023,T1,1,janvier,25,mercredi,0
20230126,2023-01-26,2023,T1,1,janvier,26,jeudi,0
20230127,2023-01-27,2023,T1,1,janvier,27,vendredi,0
20230128,2023-01-28,2023,T1,1,janvier,28,samedi,1
20230129,2023-01-29,2023,T1,1,janvier,29,dimanche,1
20230130,2023-01-30,2023,T1,1,janvier,30,lundi,0
20230131,2023-01-31,2023,T1,1,janvier,31,mardi,0
20230201,2023-02-01,2023,T1,2,février,1,mercredi,0
20230202,2023-02-02,2023,T1,2,février,2,jeudi,0
20230203,2023-02-03,2023,T1,2,février,3,vendredi,0
20230204,2023-02-04,2023,T1,2,février,4,samedi,1
20230205,2023-02-05,2023,T1,2,février,5,dimanche,1
20230206,2023-02-06,2023,T1,2,février,6,lundi,0
20230207,2023-02-07,2023,T1,2,février,7,mardi,0
20230208,2023-02-08,2023,T1,2,février,8,mercredi,0
20230209,2023-02-09,2023,T1,2,février,9,jeudi,0
20230210,2023-02-10,2023,T1,2,février,10,vendredi,0
20230211,2023-02-11,2023,T1,2,février,11,samedi,1
20230212,2023-02-12,2023,T1,2,février,12,dimanche,1
20230213,2023-02-13,2023,T1,2,février,13,lundi,0
20230214,2023-02-14,2023,T1,2,février,14,mardi,0
20230215,2023-02-15,2023,T1,2,février,15,mercredi,0
20230216,2023-02-16,2023,T1,2,février,16,jeudi,0
20230217,2023-02-17,2023,T1,2,février,17,vendredi,0
20230218,2023-02-18,2023,T1,2,février,18,samedi,1
20230219,2023-02-19,2023,T1,2,février,19,dimanche,1
20230220,2023-02-20,2023,T1,2,février,20,lundi,0
20230221,2023-02-21,2023,T1,2,février,21,mardi,0
20230222,2023-02-22,2023,T1,2,février,22,mercredi,0
20230223,2023-02-23,2023,T1,2,février,23,jeudi,0
20230224,2023-02-24,2023,T1,2,février,24,vendredi,0
20230225,2023-02-25,2023,T1,2,février,25,samedi,1
20230226,2023-02-26,2023,T1,2,février,26,dimanche,1
20230227,2023-02-27,2023,T1,2,février,27,lundi,0
20230228,2023-02-28,2023,T1,2,février,28,mardi,0
20230301,2023-03-01,2023,T1,3,mars,1,mercredi,0
20230302,2023-03-02,2023,T1,3,mars,2,jeudi,0
20230303,2023-03-03,2023,T1,3,mars,3,vendredi,0
20230304,2023-03-04,2023,T1,3,mars,4,samedi,1
20230305,2023-03-05,2023,T1,3,mars,5,dimanche,1
20230306,2023-03-06,2023,T1,3,mars,6,lundi,0
20230307,2023-03-07,2023,T1,3,mars,7,mardi,0
20230308,2023-03-08,2023,T1,3,mars,8,mercredi,0
20230309,2023-03-09,2023,T1,3,mars,9,jeudi,0
20230310,2023-03-10,2023,T1,3,mars,10,vendredi,0
20230311,2023-03-11,2023,T1,3,mars,11,samedi,1
20230312,2023-03-12,2023,T1,3,mars,12,dimanche,1
20230313,2023-03-13,2023,T1,3,mars,13,lundi,0
20230314,2023-03-14,2023,T1,3,mars,14,mardi,0
20230315,2023-03-15,2023,T1,3,mars,15,mercredi,0
20230316,2023-03-16,2023,T1,3,mars,16,jeudi,0
20230317,2023-03-17,2023,T1,3,mars,17,vendredi,0
20230318,2023-03-18,2023,T1,3,mars,18,samedi,1
20230319,2023-03-19,2023,T1,3,mars,19,dimanche,1
20230320,2023-03-20,2023,T1,3,mars,20,lundi,0
20230321,2023-03-21,2023,T1,3,mars,21,mardi,0
20230322,2023-03-22,2023,T1,3,mars,22,mercredi,0
20230323,2023-03-23,2023,T1,3,mars,23,jeudi,0
20230324,2023-03-24,2023,T1,3,mars,24,vendredi,0
20230325,2023-03-25,2023,T1,3,mars,25,samedi,1
20230326,2023-03-26,2023,T1,3,mars,26,dimanche,1
20230327,2023-03-27,2023,T1,3,mars,27,lundi,0
20230328,2023-03-28,2023,T1,3,mars,28,mardi,0
20230329,2023-03-29,2023,T1,3,mars,29,mercredi,0
20230330,2023-03-30,2023,T1,3,mars,30,jeudi,0
20230331,2023-03-31,2023,T1,3,mars,31,vendredi,0
20230401,2023-04-01,2023,T2,4,avril,1,samedi,1
20230402,2023-04-02,2023,T2,4,avril,2,dimanche,1
20230403,2023-04-03,2023,T2,4,avril,3,lundi,0
20230404,2023-04-04,2023,T2,4,avril,4,mardi,0
20230405,2023-04-05,2023,T2,4,avril,5,mercredi,0
20230406,2023-04-06,2023,T2,4,avril,6,jeudi,0
20230407,2023-04-07,2023,T2,4,avril,7,vendredi,0
20230408,2023-04-08,2023,T2,4,avril,8,samedi,1
20230409,2023-04-09,2023,T2,4,avril,9,dimanche,1
20230410,2023-04-10,2023,T2,4,avril,10,lundi,0
20230411,2023-04-11,2023,T2,4,avril,11,mardi,0
20230412,2023-04-12,2023,T2,4,avril,12,mercredi,0
20230413,2023-04-13,2023,T2,4,avril,13,jeudi,0
20230414,2023-04-14,2023,T2,4,avril,14,vendredi,0
20230415,2023-04-15,2023,T2,4,avril,15,samedi,1
20230416,2023-04-16,2023,T2,4,avril,16,dimanche,1
20230417,2023-04-17,2023,T2,4,avril,17,lundi,0
20230418,2023-04-18,2023,T2,4,avril,18,mardi,0
20230419,2023-04-19,2023,T2,4,avril,19,mercredi,0
20230420,2023-04-20,2023,T2,4,avril,20,jeudi,0
20230421,2023-04-21,2023,T2,4,avril,21,vendredi,0
20230422,2023-04-22,2023,T2,4,avril,22,samedi,1
20230423,2023-04-23,2023,T2,4,avril,23,dimanche,1
20230424,2023-04-24,2023,T2,4,avril,24,lundi,0
20230425,2023-04-25,2023,T2,4,avril,25,mardi,0
20230426,2023-04-26,2023,T2,4,avril,26,mercredi,0
20230427,2023-04-27,2023,T2,4,avril,27,jeudi,0
20230428,2023-04-28,2023,T2,4,avril,28,vendredi,0
20230429,2023-04-29,2023,T2,4,avril,29,samedi,1
20230430,2023-04-30,2023,T2,4,avril,30,dimanche,1
20230501,2023-05-01,2023,T2,5,mai,1,lundi,0
20230502,2023-05-02,2023,T2,5,mai,2,mardi,0
20230503,2023-05-03,2023,T2,5,mai,3,mercredi,0
20230504,2023-05-04,2023,T2,5,mai,4,jeudi,0
20230505,2023-05-05,2023,T2,5,mai,5,vendredi,0
20230506,2023-05-06,2023,T2,5,mai,6,samedi,1
20230507,2023-05-07,2023,T2,5,mai,7,dimanche,1
20230508,2023-05-08,2023,T2,5,mai,8,lundi,0
20230509,2023-05-09,2023,T2,5,mai,9,mardi,0
20230510,2023-05-10,2023,T2,5,mai,10,mercredi,0
20230511,2023-05-11,2023,T2,5,mai,11,jeudi,0
20230512,2023-05-12,2023,T2,5,mai,12,vendredi,0
20230513,2023-05-13,2023,T2,5,mai,13,samedi,1
20230514,2023-05-14,2023,T2,5,mai,14,dimanche,1
20230515,2023-05-15,2023,T2,5,mai,15,lundi,0
20230516,2023-05-16,2023,T2,5,mai,16,mardi,0
20230517,2023-05-17,2023,T2,5,mai,17,mercredi,0
20230518,2023-05-18,2023,T2,5,mai,18,jeudi,0
20230519,2023-05-19,2023,T2,5,mai,19,vendredi,0
20230520,2023-05-20,2023,T2,5,mai,20,samedi,1
20230521,2023-05-21,2023,T2,5,mai,21,dimanche,1
20230522,2023-05-22,2023,T2,5,mai,22,lundi,0
20230523,2023-05-23,2023,T2,5,mai,23,mardi,0
20230524,2023-05-24,2023,T2,5,mai,24,mercredi,0
20230525,2023-05-25,2023,T2,5,mai,25,jeudi,0
20230526,2023-05-26,2023,T2,5,mai,26,vendredi,0
20230527,2023-05-27,2023,T2,5,mai,27,samedi,1
20230528,2023-05-28,2023,T2,5,mai,28,dimanche,1
20230529,2023-05-29,2023,T2,5,mai,29,lundi,0
20230530,2023-05-30,2023,T2,5,mai,30,mardi,0
20230531,2023-05-31,2023,T2,5,mai,31,mercredi,0
20230601,2023-06-01,2023,T2,6,juin,1,jeudi,0
20230602,2023-06-02,2023,T2,6,juin,2,vendredi,0
20230603,2023-06-03,2023,T2,6,juin,3,samedi,1
20230604,2023-06-04,2023,T2,6,juin,4,dimanche,1
20230605,2023-06-05,2023,T2,6,juin,5,lundi,0
20230606,2023-06-06,2023,T2,6,juin,6,mardi,0
20230607,2023-06-07,2023,T2,6,juin,7,mercredi,0
20230608,2023-06-08,2023,T2,6,juin,8,jeudi,0
20230609,2023-06-09,2023,T2,6,juin,9,vendredi,0
20230610,2023-06-10,2023,T2,6,juin,10,samedi,1
20230611,2023-06-11,2023,T2,6,juin,11,dimanche,1
20230612,2023-06-12,2023,T2,6,juin,12,lundi,0
20230613,2023-06-13,2023,T2,6,juin,13,mardi,0
20230614,2023-06-14,2023,T2,6,juin,14,mercredi,0
20230615,2023-06-15,2023,T2,6,juin,15,jeudi,0
20230616,2023-06-16,2023,T2,6,juin,16,vendredi,0
20230617,2023-06-17,2023,T2,6,juin,17,samedi,1
20230618,2023-06-18,2023,T2,6,juin,18,dimanche,1
20230619,2023-06-19,2023,T2,6,juin,19,lundi,0
20230620,2023-06-20,2023,T2,6,juin,20,mardi,0
20230621,2023-06-21,2023,T2,6,juin,21,mercredi,0
20230622,2023-06-22,2023,T2,6,juin,22,jeudi,0
20230623,2023-06-23,2023,T2,6,juin,23,vendredi,0
20230624,2023-06-24,2023,T2,6,juin,24,samedi,1
20230625,2023-06-25,2023,T2,6,juin,25,dimanche,1
20230626,2023-06-26,2023,T2,6,juin,26,lundi,0
20230627,2023-06-27,2023,T2,6,juin,27,mardi,0
20230628,2023-06-28,2023,T2,6,juin,28,mercredi,0
20230629,2023-06-29,2023,T2,6,juin,29,jeudi,0
20230630,2023-06-30,2023,T2,6,juin,30,vendredi,0
20230701,2023-07-01,2023,T3,7,juillet,1,samedi,1
20230702,2023-07-02,2023,T3,7,juillet,2,dimanche,1
20230703,2023-07-03,2023,T3,7,juillet,3,lundi,0
20230704,2023-07-04,2023,T3,7,juillet,4,mardi,0
20230705,2023-07-05,2023,T3,7,juillet,5,mercredi,0
20230706,2023-07-06,2023,T3,7,juillet,6,jeudi,0
20230707,2023-07-07,2023,T3,7,juillet,7,vendredi,0
20230708,2023-07-08,2023,T3,7,juillet,8,samedi,1
20230709,2023-07-09,2023,T3,7,juillet,9,dimanche,1
20230710,2023-07-10,2023,T3,7,juillet,10,lundi,0
20230711,2023-07-11,2023,T3,7,juillet,11,mardi,0
20230712,2023-07-12,2023,T3,7,juillet,12,mercredi,0
20230713,2023-07-13,2023,T3,7,juillet,13,jeudi,0
20230714,2023-07-14,2023,T3,7,juillet,14,vendredi,0
20230715,2023-07-15,2023,T3,7,juillet,15,samedi,1
20230716,2023-07-16,2023,T3,7,juillet,16,dimanche,1
20230717,2023-07-17,2023,T3,7,juillet,17,lundi,0
20230718,2023-07-18,2023,T3,7,juillet,18,mardi,0
20230719,2023-07-19,2023,T3,7,juillet,19,mercredi,0
20230720,2023-07-20,2023,T3,7,juillet,20,jeudi,0
20230721,2023-07-21,2023,T3,7,juillet,21,vendredi,0
20230722,2023-07-22,2023,T3,7,juillet,22,samedi,1
20230723,2023-07-23,2023,T3,7,juillet,23,dimanche,1
20230724,2023-07-24,2023,T3,7,juillet,24,lundi,0
20230725,2023-07-25,2023,T3,7,juillet,25,mardi,0
20230726,2023-07-26,2023,T3,7,juillet,26,mercredi,0
20230727,2023-07-27,2023,T3,7,juillet,27,jeudi,0
20230728,2023-07-28,2023,T3,7,juillet,28,vendredi,0
20230729,2023-07-29,2023,T3,7,juillet,29,samedi,1
20230730,2023-07-30,2023,T3,7,juillet,30,dimanche,1
20230731,2023-07-31,2023,T3,7,juillet,31,lundi,0
20230801,2023-08-01,2023,T3,8,août,1,mardi,0
20230802,2023-08-02,2023,T3,8,août,2,mercredi,0
20230803,2023-08-03,2023,T3,8,août,3,jeudi,0
20230804,2023-08-04,2023,T3,8,août,4,vendredi,0
20230805,2023-08-05,2023,T3,8,août,5,samedi,1
20230806,2023-08-06,2023,T3,8,août,6,dimanche,1
20230807,2023-08-07,2023,T3,8,août,7,lundi,0
20230808,2023-08-08,2023,T3,8,août,8,mardi,0
20230809,2023-08-09,2023,T3,8,août,9,mercredi,0
20230810,2023-08-10,2023,T3,8,août,10,jeudi,0
20230811,2023-08-11,2023,T3,8,août,11,vendredi,0
20230812,2023-08-12,2023,T3,8,août,12,samedi,1
20230813,2023-08-13,2023,T3,8,août,13,dimanche,1
20230814,2023-08-14,2023,T3,8,août,14,lundi,0
20230815,2023-08-15,2023,T3,8,août,15,mardi,0
20230816,2023-08-16,2023,T3,8,août,16,mercredi,0
20230817,2023-08-17,2023,T3,8,août,17,jeudi,0
20230818,2023-08-18,2023,T3,8,août,18,vendredi,0
20230819,2023-08-19,2023,T3,8,août,19,samedi,1
20230820,2023-08-20,2023,T3,8,août,20,dimanche,1
20230821,2023-08-21,2023,T3,8,août,21,lundi,0
20230822,2023-08-22,2023,T3,8,août,22,mardi,0
20230823,2023-08-23,2023,T3,8,août,23,mercredi,0
20230824,2023-08-24,2023,T3,8,août,24,jeudi,0
20230825,2023-08-25,2023,T3,8,août,25,vendredi,0
20230826,2023-08-26,2023,T3,8,août,26,samedi,1
20230827,2023-08-27,2023,T3,8,août,27,dimanche,1
20230828,2023-08-28,2023,T3,8,août,28,lundi,0
20230829,2023-08-29,2023,T3,8,août,29,mardi,0
20230830,2023-08-30,2023,T3,8,août,30,mercredi,0
20230831,2023-08-31,2023,T3,8,août,31,jeudi,0
20230901,2023-09-01,2023,T3,9,septembre,1,vendredi,0
20230902,2023-09-02,2023,T3,9,septembre,2,samedi,1
20230903,2023-09-03,2023,T3,9,septembre,3,dimanche,1
20230904,2023-09-04,2023,T3,9,septembre,4,lundi,0
20230905,2023-09-05,2023,T3,9,septembre,5,mardi,0
20230906,2023-09-06,2023,T3,9,septembre,6,mercredi,0
20230907,2023-09-07,2023,T3,9,septembre,7,jeudi,0
20230908,2023-09-08,2023,T3,9,septembre,8,vendredi,0
20230909,2023-09-09,2023,T3,9,septembre,9,samedi,1
20230910,2023-09-10,2023,T3,9,septembre,10,dimanche,1
20230911,2023-09-11,2023,T3,9,septembre,11,lundi,0
20230912,2023-09-12,2023,T3,9,septembre,12,mardi,0
20230913,2023-09-13,2023,T3,9,septembre,13,mercredi,0
20230914,2023-09-14,2023,T3,9,septembre,14,jeudi,0
20230915,2023-09-15,2023,T3,9,septembre,15,vendredi,0
20230916,2023-09-16,2023,T3,9,septembre,16,samedi,1
20230917,2023-09-17,2023,T3,9,septembre,17,dimanche,1
20230918,2023-09-18,2023,T3,9,septembre,18,lundi,0
20230919,2023-09-19,2023,T3,9,septembre,19,mardi,0
20230920,2023-09-20,2023,T3,9,septembre,20,mercredi,0
20230921,2023-09-21,2023,T3,9,septembre,21,jeudi,0
20230922,2023-09-22,2023,T3,9,septembre,22,vendredi,0
20230923,2023-09-23,2023,T3,9,septembre,23,samedi,1
20230924,2023-09-24,2023,T3,9,septembre,24,dimanche,1
20230925,2023-09-25,2023,T3,9,septembre,25,lundi,0
20230926,2023-09-26,2023,T3,9,septembre,26,mardi,0
20230927,2023-09-27,2023,T3,9,septembre,27,mercredi,0
20230928,2023-09-28,2023,T3,9,septembre,28,jeudi,0
20230929,2023-09-29,2023,T3,9,septembre,29,vendredi,0
20230930,2023-09-30,2023,T3,9,septembre,30,samedi,1
20231001,2023-10-01,2023,T4,10,octobre,1,dimanche,1
20231002,2023-10-02,2023,T4,10,octobre,2,lundi,0
20231003,2023-10-03,2023,T4,10,octobre,3,mardi,0
20231004,2023-10-04,2023,T4,10,octobre,4,mercredi,0
20231005,2023-10-05,2023,T4,10,octobre,5,jeudi,0
20231006,2023-10-06,2023,T4,10,octobre,6,vendredi,0
20231007,2023-10-07,2023,T4,10,octobre,7,samedi,1
20231008,2023-10-08,2023,T4,10,octobre,8,dimanche,1
20231009,2023-10-09,2023,T4,10,octobre,9,lundi,0
20231010,2023-10-10,2023,T4,10,octobre,10,mardi,0
20231011,2023-10-11,2023,T4,10,octobre,11,mercredi,0
20231012,2023-10-12,2023,T4,10,octobre,12,jeudi,0
20231013,2023-10-13,2023,T4,10,octobre,13,vendredi,0
20231014,2023-10-14,2023,T4,10,octobre,14,samedi,1
20231015,2023-10-15,2023,T4,10,octobre,15,dimanche,1
20231016,2023-10-16,2023,T4,10,octobre,16,lundi,0
20231017,2023-10-17,2023,T4,10,octobre,17,mardi,0
20231018,2023-10-18,2023,T4,10,octobre,18,mercredi,0
20231019,2023-10-19,2023,T4,10,octobre,19,jeudi,0
20231020,2023-10-20,2023,T4,10,octobre,20,vendredi,0
20231021,2023-10-21,2023,T4,10,octobre,21,samedi,1
20231022,2023-10-22,2023,T4,10,octobre,22,dimanche,1
20231023,2023-10-23,2023,T4,10,octobre,23,lundi,0
20231024,2023-10-24,2023,T4,10,octobre,24,mardi,0
20231025,2023-10-25,2023,T4,10,octobre,25,mercredi,0
20231026,2023-10-26,2023,T4,10,octobre,26,jeudi,0
20231027,2023-10-27,2023,T4,10,octobre,27,vendredi,0
20231028,2023-10-28,2023,T4,10,octobre,28,samedi,1
20231029,2023-10-29,2023,T4,10,octobre,29,dimanche,1
20231030,2023-10-30,2023,T4,10,octobre,30,lundi,0
20231031,2023-10-31,2023,T4,10,octobre,31,mardi,0
20231101,2023-11-01,2023,T4,11,novembre,1,mercredi,0
20231102,2023-11-02,2023,T4,11,novembre,2,jeudi,0
20231103,2023-11-03,2023,T4,11,novembre,3,vendredi,0
20231104,2023-11-04,2023,T4,11,novembre,4,samedi,1
20231105,2023-11-05,2023,T4,11,novembre,5,dimanche,1
20231106,2023-11-06,2023,T4,11,novembre,6,lundi,0
20231107,2023-11-07,2023,T4,11,novembre,7,mardi,0
20231108,2023-11-08,2023,T4,11,novembre,8,mercredi,0
20231109,2023-11-09,2023,T4,11,novembre,9,jeudi,0
20231110,2023-11-10,2023,T4,11,novembre,10,vendredi,0
20231111,2023-11-11,2023,T4,11,novembre,11,samedi,1
20231112,2023-11-12,2023,T4,11,novembre,12,dimanche,1
20231113,2023-11-13,2023,T4,11,novembre,13,lundi,0
20231114,2023-11-14,2023,T4,11,novembre,14,mardi,0
20231115,2023-11-15,2023,T4,11,novembre,15,mercredi,0
20231116,2023-11-16,2023,T4,11,novembre,16,jeudi,0
20231117,2023-11-17,2023,T4,11,novembre,17,vendredi,0
20231118,2023-11-18,2023,T4,11,novembre,18,samedi,1
20231119,2023-11-19,2023,T4,11,novembre,19,dimanche,1
20231120,2023-11-20,2023,T4,11,novembre,20,lundi,0
20231121,2023-11-21,2023,T4,11,novembre,21,mardi,0
20231122,2023-11-22,2023,T4,11,novembre,22,mercredi,0
20231123,2023-11-23,2023,T4,11,novembre,23,jeudi,0
20231124,2023-11-24,2023,T4,11,novembre,24,vendredi,0
20231125,2023-11-25,2023,T4,11,novembre,25,samedi,1
20231126,2023-11-26,2023,T4,11,novembre,26,dimanche,1
20231127,2023-11-27,2023,T4,11,novembre,27,lundi,0
20231128,2023-11-28,2023,T4,11,novembre,28,mardi,0
20231129,2023-11-29,2023,T4,11,novembre,29,mercredi,0
20231130,2023-11-30,2023,T4,11,novembre,30,jeudi,0
20231201,2023-12-01,2023,T4,12,décembre,1,vendredi,0
20231202,2023-12-02,2023,T4,12,décembre,2,samedi,1
20231203,2023-12-03,2023,T4,12,décembre,3,dimanche,1
20231204,2023-12-04,2023,T4,12,décembre,4,lundi,0
20231205,2023-12-05,2023,T4,12,décembre,5,mardi,0
20231206,2023-12-06,2023,T4,12,décembre,6,mercredi,0
20231207,2023-12-07,2023,T4,12,décembre,7,jeudi,0
20231208,2023-12-08,2023,T4,12,décembre,8,vendredi,0
20231209,2023-12-09,2023,T4,12,décembre,9,samedi,1
20231210,2023-12-10,2023,T4,12,décembre,10,dimanche,1
20231211,2023-12-11,2023,T4,12,décembre,11,lundi,0
20231212,2023-12-12,2023,T4,12,décembre,12,mardi,0
20231213,2023-12-13,2023,T4,12,décembre,13,mercredi,0
20231214,2023-12-14,2023,T4,12,décembre,14,jeudi,0
20231215,2023-12-15,2023,T4,12,décembre,15,vendredi,0
20231216,2023-12-16,2023,T4,12,décembre,16,samedi,1
20231217,2023-12-17,2023,T4,12,décembre,17,dimanche,1
20231218,2023-12-18,2023,T4,12,décembre,18,lundi,0
20231219,2023-12-19,2023,T4,12,décembre,19,mardi,0
20231220,2023-12-20,2023,T4,12,décembre,20,mercredi,0
20231221,2023-12-21,2023,T4,12,décembre,21,jeudi,0
20231222,2023-12-22,2023,T4,12,décembre,22,vendredi,0
20231223,2023-12-23,2023,T4,12,décembre,23,samedi,1
20231224,2023-12-24,2023,T4,12,décembre,24,dimanche,1
20231225,2023-12-25,2023,T4,12,décembre,25,lundi,0
20231226,2023-12-26,2023,T4,12,décembre,26,mardi,0
20231227,2023-12-27,2023,T4,12,décembre,27,mercredi,0
20231228,2023-12-28,2023,T4,12,décembre,28,jeudi,0
20231229,2023-12-29,2023,T4,12,décembre,29,vendredi,0
20231230,2023-12-30,2023,T4,12,décembre,30,samedi,1
20231231,2023-12-31,2023,T4,12,décembre,31,dimanche,1
20240101,2024-01-01,2024,T1,1,janvier,1,lundi,0
20240102,2024-01-02,2024,T1,1,janvier,2,mardi,0
20240103,2024-01-03,2024,T1,1,janvier,3,mercredi,0
20240104,2024-01-04,2024,T1,1,janvier,4,jeudi,0
