vente_id,date_id,magasin_id,produit_id,client_id,quantite,prix_unitaire,remise,montant,marge
1,20230101,4,25,252,4,387.37,0.0,1549.48,451.12
2,20230101,5,9,238,5,296.52,0.0,1482.6,362.3
3,20230101,7,18,367,7,279.59,0.0,1957.13,623.84
4,20230101,1,1,520,2,545.21,0.0,1090.42,469.0
5,20230101,5,19,596,6,101.21,0.0,607.26,269.34
6,20230101,3,23,542,4,726.04,0.0,2904.16,1569.2
7,20230101,3,25,192,7,387.37,0.0,2711.59,789.46
8,20230101,1,19,274,3,101.21,0.0,303.63,134.67
9,20230101,3,18,598,2,279.59,0.05,531.22,150.28
10,20230101,4,12,474,4,884.49,0.05,3361.06,1807.34
11,20230101,1,26,113,6,105.66,0.0,633.96,130.2
12,20230101,6,11,569,5,504.67,0.0,2523.35,1001.15
13,20230101,4,12,477,2,884.49,0.0,1768.98,992.12
14,20230101,5,15,10,7,134.22,0.0,939.54,477.96
15,20230101,2,11,208,4,504.67,0.0,2018.68,800.92
16,20230102,7,29,144,1,354.67,0.0,354.67,168.4
17,20230102,4,24,101,9,249.97,0.0,2249.73,827.28
18,20230102,7,20,243,1,191.18,0.0,191.18,96.55
19,20230102,7,2,332,6,706.19,0.0,4237.14,2172.24
20,20230102,1,1,358,3,545.21,0.0,1635.63,703.5
21,20230102,3,23,442,7,726.04,0.0,5082.28,2746.1
22,20230102,4,25,183,2,387.37,0.0,774.74,225.56
23,20230102,1,7,278,2,569.53,0.0,1139.06,620.4
24,20230102,6,7,225,6,569.53,0.0,3417.18,1861.2
25,20230102,2,7,358,2,569.53,0.0,1139.06,620.4
26,20230102,6,28,452,4,609.0,0.0,2436.0,1301.84
27,20230102,1,7,252,8,569.53,0.0,4556.24,2481.6
28,20230103,6,19,21,6,101.21,0.0,607.26,269.34
29,20230103,3,2,271,6,706.19,0.0,4237.14,2172.24
30,20230103,1,4,231,4,658.36,0.0,2633.44,1410.84
31,20230103,3,22,557,3,453.16,0.05,1291.51,446.71
32,20230103,2,29,15,4,354.67,0.0,1418.68,673.6
33,20230103,3,29,204,4,354.67,0.0,1418.68,673.6
34,20230103,3,26,113,1,105.66,0.0,105.66,21.7
35,20230103,3,10,257,2,655.99,0.0,1311.98,648.16
36,20230103,2,12,282,1,884.49,0.0,884.49,496.06
37,20230103,7,30,105,1,83.21,0.05,79.05,18.83
38,20230103,1,6,7,3,350.77,0.05,999.69,545.28
39,20230103,1,3,491,1,100.1,0.0,100.1,57.9
40,20230103,1,19,381,5,101.21,0.0,506.05,224.45
41,20230103,2,24,296,1,249.97,0.0,249.97,91.92
42,20230103,7,7,369,2,569.53,0.0,1139.06,620.4
43,20230103,1,19,95,3,101.21,0.0,303.63,134.67
44,20230103,2,4,321,4,658.36,0.0,2633.44,1410.84
45,20230103,5,2,318,1,706.19,0.0,706.19,362.04
46,20230104,2,23,354,4,726.04,0.0,2904.16,1569.2
47,20230104,2,22,217,2,453.16,0.1,815.69,252.49
48,20230104,2,2,409,4,706.19,0.1,2542.28,1165.68
49,20230104,5,7,15,1,569.53,0.0,569.53,310.2
50,20230104,1,13,427,4,460.51,0.0,1842.04,592.2
51,20230104,2,19,300,5,101.21,0.0,506.05,224.45
52,20230104,1,17,218,2,224.09,0.0,448.18,180.78
53,20230104,1,25,510,8,387.37,0.0,3098.96,902.24
54,20230104,4,20,518,4,191.18,0.0,764.72,386.2
55,20230104,5,1,145,5,545.21,0.0,2726.05,1172.5
56,20230104,4,10,514,1,655.99,0.0,655.99,324.08
57,20230104,1,28,150,3,609.0,0.0,1827.0,976.38
58,20230104,1,24,322,3,249.97,0.0,749.91,275.76
59,20230104,2,24,444,1,249.97,0.0,249.97,91.92
60,20230104,7,13,541,5,460.51,0.1,2072.3,510.0
61,20230104,2,22,381,2,453.16,0.0,906.32,343.12
