magasin_id,annee,mois,objectif_ca
1,2024,1,120600.0
1,2024,2,137600.0
1,2024,3,137900.0
1,2024,4,157000.0
1,2024,5,154600.0
1,2024,6,154500.0
1,2024,7,136100.0
1,2024,8,126100.0
1,2024,9,140400.0
1,2024,10,120900.0
1,2024,11,135800.0
1,2024,12,138600.0
2,2024,1,98300.0
2,2024,2,101400.0
2,2024,3,109300.0
2,2024,4,103800.0
2,2024,5,106300.0
2,2024,6,93000.0
2,2024,7,100100.0
2,2024,8,105300.0
2,2024,9,104800.0
2,2024,10,106500.0
2,2024,11,99500.0
2,2024,12,95800.0
3,2024,1,69500.0
3,2024,2,64000.0
3,2024,3,78300.0
3,2024,4,67100.0
3,2024,5,75800.0
3,2024,6,63900.0
3,2024,7,71000.0
3,2024,8,62400.0
3,2024,9,68100.0
3,2024,10,65400.0
3,2024,11,67800.0
3,2024,12,73600.0
4,2024,1,82800.0
4,2024,2,102700.0
4,2024,3,88200.0
4,2024,4,82400.0
4,2024,5,77600.0
4,2024,6,90400.0
4,2024,7,90400.0
4,2024,8,84200.0
4,2024,9,89200.0
4,2024,10,100400.0
4,2024,11,80900.0
4,2024,12,96600.0
5,2024,1,72900.0
5,2024,2,71900.0
5,2024,3,71500.0
5,2024,4,63400.0
5,2024,5,60900.0
5,2024,6,64500.0
5,2024,7,66600.0
5,2024,8,61200.0
5,2024,9,62900.0
5,2024,10,71300.0
5,2024,11,59700.0
5,2024,12,72700.0
6,2024,1,72900.0
6,2024,2,73000.0
6,2024,3,84500.0
6,2024,4,75400.0
6,2024,5,77100.0
6,2024,6,72000.0
6,2024,7,75900.0
6,2024,8,76400.0
6,2024,9,85600.0
6,2024,10,72400.0
6,2024,11,76000.0
6,2024,12,79800.0
7,2024,1,88100.0
7,2024,2,83400.0
7,2024,3,84000.0
7,2024,4,77000.0
7,2024,5,84400.0
7,2024,6,88500.0
7,2024,7,77900.0
7,2024,8,92100.0
7,2024,9,83100.0
7,2024,10,72500.0
7,2024,11,94600.0
7,2024,12,74300.0
