date,ville,categorie,produit,quantite,montant
2023-01-01,Dunkerque,Électroménager,Réfrigérateur,4,1549.48
2023-01-01,Roubaix,Mode,T-shirt coton,4,2018.68
2023-01-01,Valenciennes,Maison,Lampe LED,7,939.54
2023-01-01,Dunkerque,Mode,Pull laine,2,1768.98
2023-01-01,Amiens,Mode,T-shirt coton,5,2523.35
2023-01-01,Dunkerque,Mode,Pull laine,4,3361.06
2023-01-01,Tourcoing,Maison,Étagère bois,2,531.22
2023-01-01,Lille,Bricolage,Perceuse,6,633.96
2023-01-01,Tourcoing,Électroménager,Réfrigérateur,7,2711.59
2023-01-01,Tourcoing,Électroménager,Bouilloire,4,2904.16
2023-01-01,Valenciennes,Maison,Rideau occultant,6,607.26
2023-01-01,Lille,Sport,Vélo VTT,2,1090.42
2023-01-01,En ligne,Maison,Étagère bois,7,1957.13
2023-01-01,Valenciennes,Mode,Robe été,5,1482.6
2023-01-01,Lille,Maison,Rideau occultant,3,303.63
2023-01-02,Lille,Sport,Chaussures running,2,1139.06
2023-01-02,Lille,Sport,Chaussures running,8,4556.24
2023-01-02,Amiens,Bricolage,Peinture 5L,4,2436.0
2023-01-02,Roubaix,Sport,Chaussures running,2,1139.06
2023-01-02,Amiens,Sport,Chaussures running,6,3417.18
2023-01-02,Dunkerque,Électroménager,Réfrigérateur,2,774.74
2023-01-02,En ligne,Électroménager,Aspirateur,1,191.18
2023-01-02,Lille,Sport,Vélo VTT,3,1635.63
2023-01-02,En ligne,Sport,Raquette tennis,6,4237.14
2023-01-02,Dunkerque,Électroménager,Robot cuiseur,9,2249.73
2023-01-02,En ligne,Bricolage,Échelle alu,1,354.67
2023-01-02,Tourcoing,Électroménager,Bouilloire,7,5082.28
2023-01-03,Lille,Sport,Maillot bain,3,999.69
2023-01-03,Roubaix,Sport,Tapis yoga,4,2633.44
2023-01-03,Lille,Maison,Rideau occultant,3,303.63
2023-01-03,En ligne,Sport,Chaussures running,2,1139.06
2023-01-03,Roubaix,Électroménager,Robot cuiseur,1,249.97
2023-01-03,Lille,Maison,Rideau occultant,5,506.05
2023-01-03,Lille,Sport,Ballon foot,1,100.1
2023-01-03,En ligne,Bricolage,Boîte à outils,1,79.05
2023-01-03,Valenciennes,Sport,Raquette tennis,1,706.19
2023-01-03,Tourcoing,Mode,Veste hiver,2,1311.98
2023-01-03,Tourcoing,Bricolage,Perceuse,1,105.66
2023-01-03,Tourcoing,Bricolage,Échelle alu,4,1418.68
2023-01-03,Roubaix,Bricolage,Échelle alu,4,1418.68
2023-01-03,Tourcoing,Électroménager,Micro-ondes,3,1291.51
2023-01-03,Lille,Sport,Tapis yoga,4,2633.44
2023-01-03,Tourcoing,Sport,Raquette tennis,6,4237.14
2023-01-03,Amiens,Maison,Rideau occultant,6,607.26
2023-01-03,Roubaix,Mode,Pull laine,1,884.49
2023-01-04,Lille,Bricolage,Peinture 5L,3,1827.0
2023-01-04,Lille,Électroménager,Robot cuiseur,3,749.91
2023-01-04,Roubaix,Électroménager,Robot cuiseur,1,249.97
2023-01-04,Valenciennes,Électroménager,Micro-ondes,4,1812.64
2023-01-04,Roubaix,Électroménager,Micro-ondes,2,906.32
2023-01-04,Valenciennes,Électroménager,Micro-ondes,2,906.32
2023-01-04,Dunkerque,Mode,Veste hiver,1,655.99
2023-01-04,En ligne,Mode,Baskets ville,5,2072.3
2023-01-04,Valenciennes,Sport,Vélo VTT,5,2726.05
2023-01-04,Lille,Mode,Baskets ville,4,1842.04
2023-01-04,Lille,Électroménager,Réfrigérateur,8,3098.96
2023-01-04,Lille,Maison,Couette 220x240,2,448.18
2023-01-04,Roubaix,Maison,Rideau occultant,5,506.05
2023-01-04,Lille,Mode,Baskets ville,4,1842.04
2023-01-04,Valenciennes,Sport,Chaussures running,1,569.53
2023-01-04,Roubaix,Sport,Raquette tennis,4,2542.28
2023-01-04,Roubaix,Électroménager,Micro-ondes,2,815.69
2023-01-04,Roubaix,Électroménager,Bouilloire,4,2904.16
2023-01-04,Dunkerque,Électroménager,Aspirateur,4,764.72
2023-01-05,Roubaix,Sport,Tapis yoga,1,658.36
2023-01-05,Lille,Sport,Vélo VTT,6,3271.26
2023-01-05,En ligne,Mode,Robe été,2,593.04
2023-01-05,Lille,Maison,Set casseroles,5,3534.25
2023-01-05,Roubaix,Sport,Haltères 10kg,5,442.35
2023-01-05,Lille,Mode,T-shirt coton,6,3028.02
2023-01-05,Valenciennes,Bricolage,Boîte à outils,3,224.67
2023-01-05,Roubaix,Maison,Rideau occultant,3,303.63
2023-01-05,Tourcoing,Maison,Set casseroles,6,4241.1
2023-01-05,Lille,Sport,Vélo VTT,4,2180.84
2023-01-05,En ligne,Électroménager,Réfrigérateur,3,1162.11
2023-01-05,Lille,Maison,Couette 220x240,5,1064.43
2023-01-05,Roubaix,Sport,Tapis yoga,2,1316.72
2023-01-05,Valenciennes,Électroménager,Réfrigérateur,2,774.74
2023-01-05,Lille,Mode,Veste hiver,5,3279.95
2023-01-05,Lille,Électroménager,Réfrigérateur,2,774.74
2023-01-05,En ligne,Bricolage,Perceuse,6,633.96
2023-01-05,Dunkerque,Maison,Couette 220x240,4,896.36
2023-01-06,Lille,Maison,Couette 220x240,6,1210.09
2023-01-06,Roubaix,Mode,Baskets ville,6,2486.75
2023-01-06,Lille,Maison,Rideau occultant,5,506.05
2023-01-06,En ligne,Bricolage,Perceuse,8,845.28
2023-01-06,Amiens,Électroménager,Bouilloire,7,5082.28
2023-01-06,Valenciennes,Sport,Raquette tennis,2,1271.14
2023-01-06,Tourcoing,Mode,Baskets ville,2,874.97
2023-01-06,Dunkerque,Mode,Pull laine,5,4422.45
2023-01-06,Tourcoing,Électroménager,Cafetière,8,3137.92
2023-01-06,Dunkerque,Mode,Pull laine,3,2653.47
2023-01-06,Lille,Électroménager,Bouilloire,3,2178.12
2023-01-06,Roubaix,Maison,Set casseroles,6,4241.1
2023-01-06,Tourcoing,Mode,Robe été,2,563.39
2023-01-06,Tourcoing,Mode,Pull laine,1,884.49
2023-01-06,Dunkerque,Bricolage,Perceuse,4,422.64
2023-01-07,En ligne,Mode,Robe été,4,1186.08
2023-01-07,Roubaix,Maison,Set casseroles,5,3534.25
2023-01-07,En ligne,Mode,Robe été,7,2075.64
2023-01-07,Tourcoing,Sport,Chaussures running,3,1708.59
2023-01-07,Lille,Sport,Tapis yoga,5,3127.21
2023-01-07,Lille,Mode,Veste hiver,1,655.99
2023-01-07,Lille,Maison,Couette 220x240,3,672.27
2023-01-07,Lille,Bricolage,Boîte à outils,5,416.05
2023-01-07,Lille,Maison,Étagère bois,5,1397.95
2023-01-07,Amiens,Électroménager,Cafetière,1,392.24
2023-01-07,Dunkerque,Mode,Veste hiver,1,655.99
2023-01-07,Dunkerque,Électroménager,Cafetière,1,392.24
2023-01-08,Valenciennes,Bricolage,Échelle alu,3,1064.01
2023-01-08,Lille,Électroménager,Réfrigérateur,8,3098.96
2023-01-08,Amiens,Bricolage,Peinture 5L,5,3045.0
2023-01-08,Tourcoing,Électroménager,Réfrigérateur,1,387.37
2023-01-08,Roubaix,Électroménager,Micro-ondes,2,861.0
2023-01-08,Roubaix,Mode,Pull laine,5,4422.45
2023-01-08,Amiens,Sport,Tapis yoga,6,3950.16
2023-01-08,Amiens,Bricolage,Perceuse,8,845.28
2023-01-08,Lille,Électroménager,Bouilloire,4,2904.16
2023-01-08,Lille,Bricolage,Tournevis set,3,1908.84
2023-01-08,Tourcoing,Sport,Maillot bain,3,1052.31
2023-01-08,Amiens,Maison,Set casseroles,3,2120.55
2023-01-08,Dunkerque,Électroménager,Micro-ondes,3,1359.48
2023-01-08,Roubaix,Bricolage,Boîte à outils,5,416.05
2023-01-08,Lille,Électroménager,Réfrigérateur,4,1549.48
2023-01-09,Dunkerque,Sport,Maillot bain,5,1753.85
2023-01-09,Dunkerque,Maison,Set casseroles,5,3534.25
2023-01-09,Amiens,Maison,Set casseroles,4,2827.4
2023-01-09,Lille,Maison,Couette 220x240,2,448.18
2023-01-09,Valenciennes,Bricolage,Peinture 5L,2,1218.0
2023-01-09,Dunkerque,Électroménager,Robot cuiseur,5,1249.85
2023-01-09,Valenciennes,Bricolage,Échelle alu,4,1418.68
2023-01-09,Amiens,Électroménager,Micro-ondes,8,3262.75
2023-01-09,Roubaix,Électroménager,Robot cuiseur,1,249.97
2023-01-09,Roubaix,Électroménager,Aspirateur,3,544.86
