date,ville,type,categorie,produit,quantite,prix_unitaire,remise,montant,marge,client_id
2023-01-01,Dunkerque,Magasin,Électroménager,Réfrigérateur,4,387.37,0.0,1549.48,451.12,252
2023-01-01,Roubaix,Magasin,Mode,T-shirt coton,4,504.67,0.0,2018.68,800.92,208
2023-01-01,Valenciennes,Magasin,Maison,Lampe LED,7,134.22,0.0,939.54,477.96,10
2023-01-01,Dunkerque,Magasin,Mode,Pull laine,2,884.49,0.0,1768.98,992.12,477
2023-01-01,Amiens,Magasin,Mode,T-shirt coton,5,504.67,0.0,2523.35,1001.15,569
2023-01-01,Dunkerque,Magasin,Mode,Pull laine,4,884.49,0.05,3361.06,1807.34,474
2023-01-01,Tourcoing,Magasin,Maison,Étagère bois,2,279.59,0.05,531.22,150.28,598
2023-01-01,Lille,Magasin,Bricolage,Perceuse,6,105.66,0.0,633.96,130.2,113
2023-01-01,Tourcoing,Magasin,Électroménager,Réfrigérateur,7,387.37,0.0,2711.59,789.46,192
2023-01-01,Tourcoing,Magasin,Électroménager,Bouilloire,4,726.04,0.0,2904.16,1569.2,542
2023-01-01,Valenciennes,Magasin,Maison,Rideau occultant,6,101.21,0.0,607.26,269.34,596
2023-01-01,Lille,Magasin,Sport,Vélo VTT,2,545.21,0.0,1090.42,469.0,520
2023-01-01,En ligne,E-commerce,Maison,Étagère bois,7,279.59,0.0,1957.13,623.84,367
2023-01-01,Valenciennes,Magasin,Mode,Robe été,5,296.52,0.0,1482.6,362.3,238
2023-01-01,Lille,Magasin,Maison,Rideau occultant,3,101.21,0.0,303.63,134.67,274
2023-01-02,Lille,Magasin,Sport,Chaussures running,2,569.53,0.0,1139.06,620.4,278
2023-01-02,Lille,Magasin,Sport,Chaussures running,8,569.53,0.0,4556.24,2481.6,252
2023-01-02,Amiens,Magasin,Bricolage,Peinture 5L,4,609.0,0.0,2436.0,1301.84,452
2023-01-02,Roubaix,Magasin,Sport,Chaussures running,2,569.53,0.0,1139.06,620.4,358
2023-01-02,Amiens,Magasin,Sport,Chaussures running,6,569.53,0.0,3417.18,1861.2,225
2023-01-02,Dunkerque,Magasin,Électroménager,Réfrigérateur,2,387.37,0.0,774.74,225.56,183
2023-01-02,En ligne,E-commerce,Électroménager,Aspirateur,1,191.18,0.0,191.18,96.55,243
2023-01-02,Lille,Magasin,Sport,Vélo VTT,3,545.21,0.0,1635.63,703.5,358
2023-01-02,En ligne,E-commerce,Sport,Raquette tennis,6,706.19,0.0,4237.14,2172.24,332
2023-01-02,Dunkerque,Magasin,Électroménager,Robot cuiseur,9,249.97,0.0,2249.73,827.28,101
2023-01-02,En ligne,E-commerce,Bricolage,Échelle alu,1,354.67,0.0,354.67,168.4,144
2023-01-02,Tourcoing,Magasin,Électroménager,Bouilloire,7,726.04,0.0,5082.28,2746.1,442
2023-01-03,Lille,Magasin,Sport,Maillot bain,3,350.77,0.05,999.69,545.28,7
2023-01-03,Roubaix,Magasin,Sport,Tapis yoga,4,658.36,0.0,2633.44,1410.84,321
