date,categorie,produit,qte,CA
2023-01-01,Mode,T-shirt coton,4,2018.68
2023-01-02,Sport,Chaussures running,2,1139.06
2023-01-03,Sport,Tapis yoga,4,2633.44
2023-01-03,Électroménager,Robot cuiseur,1,249.97
2023-01-03,Bricolage,Échelle alu,4,1418.68
2023-01-03,Mode,Pull laine,1,884.49
2023-01-04,Électroménager,Robot cuiseur,1,249.97
2023-01-04,Électroménager,Micro-ondes,2,906.32
2023-01-04,Maison,Rideau occultant,5,506.05
2023-01-04,Sport,Raquette tennis,4,2542.28
2023-01-04,Électroménager,Micro-ondes,2,815.69
2023-01-04,Électroménager,Bouilloire,4,2904.16
2023-01-05,Sport,Tapis yoga,1,658.36
2023-01-05,Sport,Haltères 10kg,5,442.35
2023-01-05,Maison,Rideau occultant,3,303.63
2023-01-05,Sport,Tapis yoga,2,1316.72
2023-01-06,Mode,Baskets ville,6,2486.75
2023-01-06,Maison,Set casseroles,6,4241.1
2023-01-07,Maison,Set casseroles,5,3534.25
2023-01-08,Électroménager,Micro-ondes,2,861.0
2023-01-08,Mode,Pull laine,5,4422.45
2023-01-08,Bricolage,Boîte à outils,5,416.05
2023-01-09,Électroménager,Robot cuiseur,1,249.97
2023-01-09,Électroménager,Aspirateur,3,544.86
2023-01-09,Bricolage,Tournevis set,4,2545.12
2023-01-09,Électroménager,Micro-ondes,7,3172.12
2023-01-10,Électroménager,Bouilloire,1,726.04
2023-01-10,Bricolage,Échelle alu,5,1773.35
2023-01-10,Sport,Tapis yoga,5,2962.62
2023-01-11,Maison,Étagère bois,1,279.59
2023-01-12,Maison,Rideau occultant,5,506.05
2023-01-12,Mode,Baskets ville,5,2302.55
2023-01-12,Sport,Raquette tennis,5,3530.95
2023-01-13,Électroménager,Réfrigérateur,2,774.74
2023-01-13,Électroménager,Robot cuiseur,7,1749.79
2023-01-13,Mode,Jean homme,2,490.09
2023-01-13,Bricolage,Tournevis set,1,636.28
2023-01-14,Sport,Vélo VTT,8,4361.68
2023-01-14,Maison,Rideau occultant,7,708.47
2023-01-14,Mode,Pull laine,7,6191.43
2023-01-15,Sport,Chaussures running,1,569.53
2023-01-15,Maison,Étagère bois,1,251.63
2023-01-16,Bricolage,Tournevis set,8,5090.24
2023-01-16,Mode,Pull laine,6,5306.94
2023-01-18,Maison,Étagère bois,3,838.77
2023-01-18,Électroménager,Micro-ondes,6,2718.96
2023-01-18,Électroménager,Cafetière,3,1176.72
2023-01-19,Sport,Raquette tennis,4,2683.52
2023-01-19,Sport,Haltères 10kg,5,491.5
2023-01-19,Mode,Veste hiver,3,1574.38
2023-01-19,Bricolage,Peinture 5L,5,3045.0
2023-01-19,Mode,Veste hiver,3,1967.97
2023-01-19,Électroménager,Cafetière,3,1176.72
2023-01-19,Bricolage,Échelle alu,2,638.41
2023-01-20,Électroménager,Aspirateur,2,382.36
2023-01-20,Bricolage,Perceuse,1,105.66
2023-01-20,Sport,Tapis yoga,7,4608.52
2023-01-20,Sport,Ballon foot,2,190.19
2023-01-20,Maison,Lampe LED,7,939.54
2023-01-20,Sport,Vélo VTT,3,1635.63
2023-01-20,Sport,Vélo VTT,1,436.17
2023-01-22,Sport,Vélo VTT,2,1090.42
2023-01-22,Bricolage,Échelle alu,7,2482.69
2023-01-23,Électroménager,Robot cuiseur,3,749.91
2023-01-23,Bricolage,Tournevis set,4,2545.12
2023-01-23,Maison,Canapé 3 places,3,590.95
2023-01-23,Bricolage,Boîte à outils,4,316.2
2023-01-23,Sport,Vélo VTT,5,2726.05
2023-01-23,Maison,Rideau occultant,3,303.63
2023-01-23,Mode,Veste hiver,4,2361.56
2023-01-25,Bricolage,Perceuse,2,211.32
2023-01-25,Maison,Canapé 3 places,6,1403.51
2023-01-26,Bricolage,Tournevis set,5,3181.4
2023-01-27,Sport,Chaussures running,2,1139.06
2023-01-27,Sport,Vélo VTT,2,981.38
2023-01-27,Maison,Couette 220x240,1,224.09
2023-01-27,Électroménager,Aspirateur,5,955.9
2023-01-28,Maison,Couette 220x240,2,448.18
2023-01-28,Électroménager,Réfrigérateur,5,1840.01
2023-01-29,Mode,Veste hiver,1,655.99
2023-01-29,Bricolage,Boîte à outils,6,499.26
2023-01-29,Maison,Canapé 3 places,4,984.92
2023-01-29,Bricolage,Échelle alu,2,673.87
2023-01-29,Électroménager,Réfrigérateur,6,2324.22
2023-01-30,Maison,Lampe LED,1,134.22
2023-01-30,Mode,Robe été,6,1779.12
2023-01-30,Bricolage,Peinture 5L,1,548.1
2023-01-31,Sport,Haltères 10kg,3,294.9
2023-02-01,Maison,Canapé 3 places,2,492.46
2023-02-01,Maison,Étagère bois,2,559.18
2023-02-01,Mode,Baskets ville,1,460.51
2023-02-01,Électroménager,Micro-ondes,5,2265.8
2023-02-02,Électroménager,Robot cuiseur,2,499.94
2023-02-02,Bricolage,Boîte à outils,5,395.25
2023-02-02,Mode,Pull laine,1,884.49
2023-02-03,Électroménager,Bouilloire,3,2069.21
2023-02-03,Sport,Haltères 10kg,1,98.3
2023-02-04,Maison,Lampe LED,2,268.44
2023-02-04,Sport,Maillot bain,4,1332.93
2023-02-05,Bricolage,Peinture 5L,1,548.1
2023-02-05,Électroménager,Aspirateur,1,191.18
2023-02-05,Mode,Baskets ville,4,1842.04
2023-02-06,Électroménager,Aspirateur,1,191.18
2023-02-06,Sport,Maillot bain,3,1052.31
2023-02-06,Sport,Maillot bain,1,350.77
2023-02-08,Bricolage,Tournevis set,2,1272.56
2023-02-08,Maison,Set casseroles,2,1413.7
2023-02-08,Sport,Ballon foot,3,300.3
2023-02-09,Maison,Canapé 3 places,2,492.46
2023-02-09,Sport,Vélo VTT,3,1635.63
2023-02-09,Maison,Set casseroles,3,2120.55
2023-02-10,Mode,Jean homme,1,272.27
2023-02-10,Mode,T-shirt coton,3,1514.01
2023-02-12,Sport,Tapis yoga,3,1975.08
2023-02-12,Bricolage,Peinture 5L,1,609.0
2023-02-12,Maison,Canapé 3 places,5,1231.15
2023-02-13,Électroménager,Aspirateur,1,191.18
2023-02-13,Mode,Veste hiver,1,655.99
2023-02-14,Bricolage,Échelle alu,1,354.67
2023-02-14,Sport,Maillot bain,2,701.54
2023-02-14,Sport,Raquette tennis,1,706.19
2023-02-14,Sport,Tapis yoga,1,658.36
2023-02-14,Sport,Chaussures running,3,1708.59
2023-02-15,Sport,Vélo VTT,3,1308.5
2023-02-15,Électroménager,Robot cuiseur,2,499.94
2023-02-16,Sport,Maillot bain,3,999.69
2023-02-16,Électroménager,Cafetière,4,1568.96
2023-02-17,Bricolage,Tournevis set,4,2545.12
2023-02-18,Sport,Vélo VTT,3,1635.63
2023-02-18,Maison,Couette 220x240,1,224.09
2023-02-18,Électroménager,Aspirateur,2,382.36
2023-02-18,Mode,T-shirt coton,3,1211.21
2023-02-19,Maison,Étagère bois,2,559.18
2023-02-19,Sport,Chaussures running,1,455.62
2023-02-19,Sport,Maillot bain,2,701.54
2023-02-19,Électroménager,Robot cuiseur,1,249.97
2023-02-20,Électroménager,Cafetière,2,784.48
2023-02-20,Maison,Set casseroles,4,2827.4
2023-02-20,Électroménager,Aspirateur,1,172.06
2023-02-21,Bricolage,Tournevis set,4,2417.86
2023-02-21,Électroménager,Robot cuiseur,3,749.91
2023-02-21,Mode,Pull laine,4,3537.96
2023-02-21,Électroménager,Bouilloire,2,1452.08
2023-02-21,Sport,Vélo VTT,1,517.95
2023-02-22,Électroménager,Cafetière,4,1568.96
2023-02-22,Mode,Pull laine,2,1680.53
2023-02-22,Électroménager,Aspirateur,4,764.72
2023-02-23,Mode,Veste hiver,1,655.99
2023-02-23,Électroménager,Cafetière,3,1176.72
2023-02-23,Sport,Maillot bain,2,701.54
2023-02-24,Maison,Set casseroles,3,2120.55
2023-02-25,Sport,Maillot bain,2,701.54
2023-02-25,Électroménager,Robot cuiseur,2,474.94
2023-02-26,Mode,Pull laine,5,4422.45
2023-02-27,Mode,Veste hiver,5,3279.95
2023-02-27,Maison,Canapé 3 places,4,984.92
2023-02-27,Mode,Veste hiver,3,1967.97
2023-02-27,Bricolage,Boîte à outils,3,249.63
2023-02-27,Maison,Canapé 3 places,1,246.23
2023-02-27,Bricolage,Peinture 5L,3,1827.0
2023-02-28,Sport,Vélo VTT,1,545.21
2023-02-28,Mode,Pull laine,1,884.49
2023-03-01,Électroménager,Aspirateur,2,382.36
2023-03-01,Mode,Robe été,3,889.56
2023-03-02,Bricolage,Perceuse,2,211.32
2023-03-02,Maison,Étagère bois,5,1397.95
2023-03-03,Sport,Haltères 10kg,1,93.38
2023-03-03,Maison,Canapé 3 places,2,492.46
2023-03-03,Bricolage,Échelle alu,4,1418.68
2023-03-03,Maison,Canapé 3 places,2,492.46
2023-03-03,Sport,Vélo VTT,2,1090.42
2023-03-04,Électroménager,Cafetière,3,1117.88
2023-03-04,Sport,Vélo VTT,3,1635.63
2023-03-04,Maison,Étagère bois,1,265.61
2023-03-04,Sport,Haltères 10kg,2,186.77
