date,ville,type,categorie,produit,quantite,prix_unitaire,remise,montant,marge,client_id
11/10/2024,Lille,Magasin,Bricolage,Perceuse,3.0,105.66,0.0,316.98,65.1,316.0
07/04/2024,Amiens,Magasin,Mode,Robe été,,296.52,0.0,593.04,144.92,35.0
2024-08-31,Valenciennes,Magasin,Bricolage,Perceuse,4.0,105.66,0.0,422.64,86.8,331.0
2023-10-11,dunkerque,Magasin,Électroménager,Micro-ondes,2.0,453.16,0.0,906.32,343.12,38.0
2023-12-03,Tourcoing,Magasin,Maison,Lampe LED,2.0,134.22,0.1,241.6,109.72,391.0
2023-02-05,Valenciennes,Magasin,Maison,Set casseroles,2.0,706.85,0.0,1413.7,815.34,168.0
2023-05-15,Lille,Magasin,Électroménager,Aspirateur,2.0,191.18,0.0,"382,36",193.1,6.0
2023-10-20,AMIENS,Magasin,Mode,Robe été,4.0,296.52,0.0,1186.08,289.84,468.0
2023-05-05,Tourcoing,Magasin,Sport,Tapis yoga,1.0,658.36,0.1,592.52,286.87,477.0
21/08/2024,Amiens,Magasin,Sport,Haltères 10kg,,98.3,0.0,"196,6",85.4,211.0
2023-10-23,  Lille ,Magasin,Électroménager,Réfrigérateur,2.0,387.37,0.05,736.0,186.82,251.0
2023-09-26,Dunkerque,Magasin,Électroménager,Réfrigérateur,2.0,387.37,0.0,"774,74",225.56,556.0
2023-09-24,Roubaix,Magasin,Sport,Raquette tennis,2.0,706.19,0.0,1412.38,724.08,558.0
13/01/2024,Amiens,Magasin,Mode,Pull laine,1.0,884.49,0.0,884.49,496.06,108.0
2024-02-01,  Dunkerque ,Magasin,Sport,Ballon foot,,100.1,0.0,400.4,231.6,462.0
2023-07-29,Valenciennes,Magasin,Électroménager,Robot cuiseur,5.0,249.97,0.0,1249.85,459.6,281.0
2024-08-14,tourcoing,Magasin,Sport,Maillot bain,3.0,350.77,0.0,1052.31,597.9,467.0
13/04/2024,  Amiens ,Magasin,Sport,Tapis yoga,2.0,658.36,0.0,1316.72,705.42,132.0
2023-03-12,LILLE,Magasin,Sport,Vélo VTT,1.0,545.21,0.1,490.69,179.98,
12/04/2023,En ligne,E-commerce,Maison,Rideau occultant,6.0,101.21,0.05,576.9,238.98,
2023-12-06,lille,Magasin,Mode,Jean homme,1.0,272.27,0.0,272.27,92.12,111.0
10/02/2024,  Dunkerque ,Magasin,Sport,Maillot bain,,350.77,0.0,1753.85,996.5,282.0
2023-10-21,  Roubaix ,Magasin,Sport,Chaussures running,,569.53,0.0,2278.12,1240.8,481.0
2023-09-29,Dunkerque,Magasin,Sport,Maillot bain,3.0,350.77,0.0,1052.31,597.9,213.0
2023-07-17,En ligne,E-commerce,Bricolage,Boîte à outils,,83.21,0.0,166.42,45.98,408.0
2023-03-21,Lille,Magasin,Mode,Jean homme,6.0,272.27,0.05,,471.04,480.0
2023-01-09,Valenciennes,Magasin,Sport,Haltères 10kg,3.0,98.3,0.0,294.9,128.1,224.0
2023-06-14,  Roubaix ,Magasin,Maison,Set casseroles,3.0,706.85,0.0,"2120,55",1223.01,366.0
14/11/2024,Roubaix,Magasin,Mode,Pull laine,4.0,884.49,0.0,3537.96,1984.24,9.0
2024-01-14,  Valenciennes ,Magasin,Maison,Couette 220x240,4.0,224.09,0.0,"896,36",361.56,331.0
30/10/2023,En ligne,E-commerce,Sport,Vélo VTT,2.0,545.21,0.0,1090.42,469.0,286.0
25/05/2023,Tourcoing,Magasin,Sport,Chaussures running,3.0,569.53,0.0,1708.59,930.6,435.0
2023-07-31,LILLE,Magasin,Maison,Rideau occultant,4.0,101.21,0.0,404.84,179.56,553.0
14/09/2023,Lille,Magasin,Mode,Veste hiver,1.0,655.99,0.1,590.39,258.48,262.0
2024-03-07,DUNKERQUE,Magasin,Électroménager,Cafetière,2.0,392.24,0.0,784.48,429.12,262.0
2023-11-17,Dunkerque,Magasin,Électroménager,Aspirateur,2.0,191.18,0.0,382.36,193.1,138.0
22/01/2023,Lille,Magasin,Maison,Lampe LED,4.0,134.22,0.05,510.04,246.28,75.0
03/01/2023,Valenciennes,Magasin,Sport,Raquette tennis,1.0,706.19,0.0,706.19,362.04,318.0
2023-10-30,Dunkerque,Magasin,Électroménager,Bouilloire,5.0,726.04,0.0,3630.2,1961.5,184.0
2024-05-02,Lille,Magasin,Maison,Rideau occultant,2.0,101.21,0.0,,89.78,207.0
2024-04-05,Dunkerque,Magasin,Maison,Set casseroles,6.0,706.85,0.0,4241.1,2446.02,300.0
07/06/2023,Lille,Magasin,Mode,Robe été,2.0,296.52,0.0,593.04,144.92,558.0
2023-03-14,Tourcoing,Magasin,Bricolage,Peinture 5L,1.0,609.0,0.0,609.0,325.46,307.0
2023-08-01,Dunkerque,Magasin,Maison,Étagère bois,5.0,279.59,0.0,1397.95,445.6,578.0
2024-04-10,Roubaix,Magasin,Sport,Maillot bain,2.0,350.77,0.0,701.54,398.6,143.0
2024-04-13,Valenciennes,Magasin,Mode,T-shirt coton,4.0,504.67,0.05,1917.75,699.99,
2024-12-03,dunkerque,Magasin,Maison,Set casseroles,7.0,706.85,0.0,4947.95,2853.69,34.0
2023-10-13,dunkerque,Magasin,Mode,Veste hiver,5.0,655.99,0.0,3279.95,1620.4,100.0
2023-01-18,Tourcoing,Magasin,Sport,Tapis yoga,,658.36,0.0,3950.16,2116.26,256.0
26/04/2023,Dunkerque,Magasin,Électroménager,Aspirateur,4.0,191.18,0.0,764.72,386.2,514.0
2023-01-02,Amiens,Magasin,Bricolage,Peinture 5L,4.0,609.0,0.0,2436.0,1301.84,452.0
02/04/2024,AMIENS,Magasin,Mode,Baskets ville,1.0,460.51,0.0,460.51,148.05,474.0
2024-09-06,Lille,Magasin,Bricolage,Peinture 5L,1.0,609.0,0.0,609.0,325.46,275.0
21/04/2023,dunkerque,Magasin,Mode,Veste hiver,2.0,655.99,0.0,"1311,98",648.16,420.0
2023-02-24,en ligne,E-commerce,Maison,Canapé 3 places,5.0,246.23,0.0,1231.15,284.4,173.0
23/07/2023,Roubaix,Magasin,Mode,Baskets ville,8.0,460.51,0.0,3684.08,1184.4,195.0
09/12/2024,Lille,Magasin,Sport,Maillot bain,4.0,350.77,0.0,1403.08,797.2,440.0
2024-09-28,en ligne,E-commerce,Mode,Robe été,1.0,296.52,0.1,266.87,42.81,286.0
2023-10-14,AMIENS,Magasin,Bricolage,Boîte à outils,1.0,83.21,0.0,83.21,22.99,410.0
2023-09-01,Roubaix,Magasin,Bricolage,Échelle alu,1.0,354.67,0.0,354.67,168.4,115.0
2023-06-12,DUNKERQUE,Magasin,Mode,Jean homme,4.0,272.27,0.05,1034.63,314.03,500.0
2024-12-20,DUNKERQUE,Magasin,Sport,Vélo VTT,8.0,545.21,0.0,4361.68,1876.0,475.0
2024-03-20,LILLE,Magasin,Sport,Haltères 10kg,4.0,98.3,0.0,393.2,170.8,231.0
06/12/2023,  Tourcoing ,Magasin,Électroménager,Micro-ondes,7.0,453.16,0.0,3172.12,1200.92,486.0
2023-08-04,Lille,Magasin,Électroménager,Cafetière,1.0,392.24,0.0,392.24,214.56,308.0
2023-05-18,Roubaix,Magasin,Maison,Couette 220x240,,224.09,0.0,"1120,45",451.95,198.0
2024-03-27,Roubaix,Magasin,Sport,Maillot bain,1.0,350.77,0.05,333.23,181.76,206.0
17/10/2023,En ligne,E-commerce,Sport,Chaussures running,1.0,569.53,0.0,569.53,310.2,47.0
