date,categorie,produit,quantite,montant
2023-01-01,Maison,Étagère bois,2,531.22
2023-01-01,Électroménager,Réfrigérateur,7,2711.59
2023-01-01,Électroménager,Bouilloire,4,2904.16
2023-01-02,Électroménager,Bouilloire,7,5082.28
2023-01-03,Mode,Veste hiver,2,1311.98
2023-01-03,Bricolage,Perceuse,1,105.66
2023-01-03,Bricolage,Échelle alu,4,1418.68
2023-01-03,Électroménager,Micro-ondes,3,1291.51
2023-01-03,Sport,Raquette tennis,6,4237.14
2023-01-05,Maison,Set casseroles,6,4241.1
2023-01-06,Mode,Baskets ville,2,874.97
2023-01-06,Électroménager,Cafetière,8,3137.92
2023-01-06,Mode,Robe été,2,563.39
2023-01-06,Mode,Pull laine,1,884.49
2023-01-07,Sport,Chaussures running,3,1708.59
2023-01-08,Électroménager,Réfrigérateur,1,387.37
2023-01-08,Sport,Maillot bain,3,1052.31
2023-01-11,Électroménager,Micro-ondes,5,2265.8
2023-01-11,Sport,Ballon foot,3,300.3
2023-01-11,Sport,Chaussures running,1,569.53
2023-01-13,Maison,Set casseroles,2,1130.96
2023-01-13,Sport,Chaussures running,1,569.53
2023-01-13,Électroménager,Bouilloire,3,1960.31
2023-01-14,Mode,T-shirt coton,6,3028.02
2023-01-14,Maison,Rideau occultant,6,607.26
2023-01-14,Mode,Veste hiver,5,3279.95
2023-01-15,Bricolage,Tournevis set,4,2545.12
2023-01-15,Maison,Set casseroles,1,706.85
2023-01-16,Mode,Pull laine,3,2653.47
2023-01-16,Sport,Chaussures running,2,1139.06
2023-01-16,Sport,Haltères 10kg,6,589.8
2023-01-18,Sport,Tapis yoga,6,3950.16
2023-01-18,Mode,Baskets ville,1,414.46
2023-01-20,Maison,Lampe LED,1,134.22
2023-01-20,Mode,Baskets ville,4,1842.04
2023-01-20,Mode,Veste hiver,6,3935.94
2023-01-22,Électroménager,Micro-ondes,7,3172.12
2023-01-22,Maison,Rideau occultant,3,273.27
2023-01-22,Maison,Rideau occultant,3,303.63
2023-01-22,Maison,Canapé 3 places,5,1169.59
2023-01-23,Bricolage,Tournevis set,1,636.28
2023-01-24,Sport,Vélo VTT,1,490.69
2023-01-24,Électroménager,Robot cuiseur,2,499.94
2023-01-25,Électroménager,Bouilloire,5,3630.2
2023-01-25,Sport,Vélo VTT,6,3107.7
2023-01-26,Sport,Vélo VTT,7,3816.47
2023-01-26,Maison,Canapé 3 places,5,1231.15
2023-01-27,Électroménager,Bouilloire,5,3630.2
2023-01-27,Mode,Pull laine,4,3537.96
2023-01-27,Maison,Étagère bois,1,279.59
2023-01-27,Sport,Ballon foot,4,380.38
2023-01-27,Électroménager,Aspirateur,5,955.9
2023-01-27,Mode,Baskets ville,7,2901.21
2023-01-28,Sport,Tapis yoga,4,2633.44
2023-01-28,Sport,Maillot bain,7,2455.39
2023-01-28,Bricolage,Échelle alu,6,2128.02
2023-01-29,Bricolage,Échelle alu,1,354.67
2023-01-29,Mode,T-shirt coton,1,454.2
2023-01-29,Électroménager,Aspirateur,4,764.72
2023-01-30,Sport,Raquette tennis,8,5649.52
2023-01-30,Électroménager,Aspirateur,4,764.72
2023-01-30,Électroménager,Micro-ondes,5,2265.8
2023-01-30,Mode,Pull laine,8,6722.12
2023-01-31,Électroménager,Aspirateur,2,382.36
2023-01-31,Maison,Set casseroles,7,4947.95
2023-02-01,Sport,Raquette tennis,3,2012.64
2023-02-02,Mode,Veste hiver,2,1311.98
2023-02-02,Bricolage,Échelle alu,3,1064.01
2023-02-03,Mode,Robe été,1,281.69
2023-02-03,Maison,Rideau occultant,4,364.36
2023-02-03,Bricolage,Perceuse,3,316.98
2023-02-04,Bricolage,Échelle alu,4,1418.68
2023-02-04,Maison,Set casseroles,1,706.85
2023-02-04,Sport,Ballon foot,1,100.1
2023-02-05,Sport,Vélo VTT,1,545.21
2023-02-05,Bricolage,Tournevis set,3,1908.84
2023-02-06,Mode,Jean homme,1,245.04
2023-02-06,Maison,Lampe LED,1,134.22
2023-02-07,Bricolage,Perceuse,1,105.66
2023-02-07,Maison,Couette 220x240,1,224.09
2023-02-07,Maison,Couette 220x240,4,896.36
2023-02-07,Sport,Chaussures running,3,1708.59
2023-02-08,Bricolage,Peinture 5L,1,609.0
2023-02-09,Mode,Baskets ville,3,1381.53
2023-02-09,Mode,Robe été,1,296.52
2023-02-10,Électroménager,Aspirateur,1,152.94
2023-02-10,Bricolage,Perceuse,2,211.32
2023-02-11,Maison,Rideau occultant,3,303.63
2023-02-11,Sport,Haltères 10kg,2,196.6
2023-02-11,Mode,T-shirt coton,2,1009.34
2023-02-11,Maison,Set casseroles,2,1413.7
2023-02-11,Électroménager,Bouilloire,1,580.83
2023-02-13,Mode,Veste hiver,2,1311.98
2023-02-13,Maison,Set casseroles,3,1908.5
2023-02-14,Sport,Ballon foot,1,80.08
2023-02-14,Maison,Set casseroles,1,706.85
2023-02-14,Sport,Chaussures running,4,2278.12
2023-02-15,Mode,T-shirt coton,3,1362.61
2023-02-15,Bricolage,Perceuse,1,100.38
2023-02-16,Mode,T-shirt coton,5,2397.18
2023-02-16,Bricolage,Peinture 5L,4,2436.0
2023-02-16,Mode,Jean homme,3,735.13
2023-02-17,Maison,Étagère bois,2,531.22
2023-02-17,Mode,Pull laine,2,1415.18
2023-02-17,Électroménager,Bouilloire,1,653.44
2023-02-17,Bricolage,Boîte à outils,4,332.84
2023-02-18,Bricolage,Perceuse,1,95.09
2023-02-18,Sport,Maillot bain,1,350.77
2023-02-19,Maison,Lampe LED,2,268.44
2023-02-19,Maison,Lampe LED,2,268.44
2023-02-19,Mode,Robe été,2,593.04
2023-02-20,Sport,Tapis yoga,1,658.36
2023-02-20,Électroménager,Cafetière,1,392.24
2023-02-21,Maison,Canapé 3 places,2,492.46
2023-02-21,Sport,Haltères 10kg,3,294.9
2023-02-21,Bricolage,Tournevis set,2,1272.56
2023-02-22,Bricolage,Peinture 5L,3,1735.65
2023-02-23,Sport,Haltères 10kg,2,196.6
2023-02-23,Maison,Canapé 3 places,1,246.23
2023-02-23,Bricolage,Boîte à outils,2,166.42
2023-02-23,Électroménager,Réfrigérateur,2,774.74
2023-02-23,Maison,Canapé 3 places,1,233.92
2023-02-23,Maison,Lampe LED,1,107.38
2023-02-24,Bricolage,Peinture 5L,3,1827.0
2023-02-24,Bricolage,Échelle alu,2,709.34
2023-02-26,Sport,Chaussures running,1,541.05
2023-02-26,Électroménager,Micro-ondes,3,1359.48
2023-02-26,Électroménager,Robot cuiseur,3,749.91
2023-02-27,Mode,Pull laine,3,2653.47
2023-02-27,Électroménager,Robot cuiseur,3,749.91
2023-02-28,Sport,Vélo VTT,3,1472.07
2023-02-28,Électroménager,Réfrigérateur,2,774.74
2023-03-01,Bricolage,Tournevis set,3,1908.84
2023-03-02,Sport,Raquette tennis,2,1412.38
2023-03-02,Maison,Set casseroles,6,4241.1
2023-03-02,Mode,Robe été,1,296.52
2023-03-02,Électroménager,Robot cuiseur,4,999.88
2023-03-03,Sport,Haltères 10kg,1,98.3
2023-03-04,Maison,Set casseroles,1,706.85
2023-03-04,Électroménager,Robot cuiseur,3,749.91
2023-03-04,Bricolage,Boîte à outils,3,249.63
2023-03-05,Bricolage,Boîte à outils,1,83.21
2023-03-06,Maison,Rideau occultant,3,242.9
2023-03-07,Sport,Vélo VTT,3,1635.63
2023-03-08,Maison,Set casseroles,2,1413.7
2023-03-09,Maison,Couette 220x240,5,1120.45
2023-03-09,Maison,Étagère bois,1,279.59
2023-03-10,Sport,Maillot bain,2,666.46
2023-03-10,Bricolage,Peinture 5L,3,1827.0
2023-03-10,Maison,Canapé 3 places,2,492.46
2023-03-10,Électroménager,Robot cuiseur,3,749.91
2023-03-11,Sport,Ballon foot,3,300.3
2023-03-14,Bricolage,Peinture 5L,1,609.0
2023-03-14,Bricolage,Perceuse,1,84.53
2023-03-15,Sport,Ballon foot,3,300.3
2023-03-15,Électroménager,Aspirateur,3,573.54
2023-03-16,Bricolage,Perceuse,1,105.66
2023-03-17,Bricolage,Tournevis set,6,3817.68
2023-03-18,Maison,Rideau occultant,3,303.63
2023-03-19,Maison,Étagère bois,3,838.77
2023-03-20,Électroménager,Bouilloire,5,3630.2
2023-03-20,Maison,Canapé 3 places,1,246.23
2023-03-21,Mode,Veste hiver,1,655.99
2023-03-21,Mode,Veste hiver,4,2623.96
2023-03-21,Maison,Lampe LED,2,268.44
2023-03-21,Sport,Chaussures running,5,2562.88
2023-03-22,Sport,Maillot bain,4,1403.08
2023-03-22,Bricolage,Perceuse,5,528.3
2023-03-22,Mode,Baskets ville,1,414.46
2023-03-23,Maison,Set casseroles,1,706.85
2023-03-23,Électroménager,Robot cuiseur,3,749.91
2023-03-23,Bricolage,Tournevis set,1,636.28
2023-03-24,Électroménager,Aspirateur,5,955.9
2023-03-24,Mode,Baskets ville,1,460.51
2023-03-24,Maison,Couette 220x240,3,672.27
2023-03-26,Électroménager,Bouilloire,1,726.04
2023-03-27,Maison,Étagère bois,5,1397.95
2023-03-29,Mode,Pull laine,2,1592.08
2023-04-01,Maison,Canapé 3 places,3,701.76
2023-04-01,Électroménager,Robot cuiseur,1,249.97
2023-04-01,Électroménager,Micro-ondes,1,453.16
2023-04-01,Bricolage,Perceuse,3,316.98
2023-04-04,Bricolage,Perceuse,3,301.13
2023-04-04,Sport,Tapis yoga,4,2633.44
2023-04-04,Maison,Lampe LED,3,402.66
2023-04-04,Électroménager,Aspirateur,3,573.54
2023-04-04,Mode,Pull laine,1,884.49
2023-04-05,Bricolage,Échelle alu,4,1276.81
2023-04-05,Mode,Veste hiver,4,2623.96
2023-04-05,Maison,Canapé 3 places,1,246.23
2023-04-07,Électroménager,Bouilloire,3,2178.12
2023-04-07,Mode,T-shirt coton,3,1514.01
2023-04-07,Bricolage,Peinture 5L,3,1827.0
2023-04-07,Sport,Chaussures running,1,569.53
2023-04-07,Maison,Set casseroles,2,1413.7
2023-04-07,Électroménager,Micro-ondes,1,453.16
2023-04-07,Mode,Robe été,4,1186.08
2023-04-07,Sport,Maillot bain,5,1753.85
2023-04-08,Électroménager,Cafetière,1,392.24
2023-04-08,Sport,Maillot bain,4,1403.08
2023-04-08,Sport,Raquette tennis,1,706.19
2023-04-09,Mode,Baskets ville,1,460.51
2023-04-09,Maison,Rideau occultant,3,303.63
2023-04-10,Mode,Veste hiver,3,1869.57
2023-04-10,Bricolage,Peinture 5L,3,1827.0
2023-04-11,Maison,Rideau occultant,2,202.42
2023-04-11,Bricolage,Peinture 5L,3,1827.0
2023-04-11,Sport,Vélo VTT,4,2180.84
