date,categorie,produit,quantite,montant
2023-01-01,Maison,Lampe LED,7,939.54
2023-01-01,Maison,Rideau occultant,6,607.26
2023-01-01,Mode,Robe été,5,1482.6
2023-01-03,Sport,Raquette tennis,1,706.19
2023-01-04,Électroménager,Micro-ondes,4,1812.64
2023-01-04,Électroménager,Micro-ondes,2,906.32
2023-01-04,Sport,Vélo VTT,5,2726.05
2023-01-04,Sport,Chaussures running,1,569.53
2023-01-05,Bricolage,Boîte à outils,3,224.67
2023-01-05,Électroménager,Réfrigérateur,2,774.74
2023-01-06,Sport,Raquette tennis,2,1271.14
2023-01-08,Bricolage,Échelle alu,3,1064.01
2023-01-09,Bricolage,Peinture 5L,2,1218.0
2023-01-09,Bricolage,Échelle alu,4,1418.68
2023-01-09,Sport,Haltères 10kg,3,294.9
2023-01-12,Mode,Jean homme,6,1633.62
2023-01-12,Maison,Rideau occultant,2,202.42
2023-01-12,Maison,Rideau occultant,7,673.05
2023-01-13,Bricolage,Tournevis set,2,1272.56
2023-01-16,Sport,Maillot bain,1,350.77
2023-01-16,Sport,Haltères 10kg,3,294.9
2023-01-16,Sport,Chaussures running,2,1139.06
2023-01-16,Bricolage,Boîte à outils,3,249.63
2023-01-17,Mode,T-shirt coton,1,504.67
2023-01-17,Sport,Vélo VTT,3,1635.63
2023-01-18,Maison,Set casseroles,3,2120.55
2023-01-19,Bricolage,Peinture 5L,4,2436.0
2023-01-19,Sport,Maillot bain,2,701.54
2023-01-23,Mode,Veste hiver,3,1967.97
2023-01-23,Maison,Rideau occultant,2,202.42
2023-01-24,Sport,Raquette tennis,3,2118.57
2023-01-24,Électroménager,Robot cuiseur,8,1999.76
2023-01-25,Sport,Ballon foot,1,100.1
2023-01-25,Électroménager,Aspirateur,2,382.36
2023-01-26,Mode,Robe été,4,1126.78
2023-01-28,Sport,Chaussures running,1,569.53
2023-01-28,Sport,Haltères 10kg,1,98.3
2023-01-29,Mode,Baskets ville,2,921.02
2023-01-31,Mode,Veste hiver,4,2623.96
2023-02-01,Maison,Étagère bois,5,1397.95
2023-02-01,Bricolage,Tournevis set,1,509.02
2023-02-02,Électroménager,Aspirateur,3,573.54
2023-02-02,Électroménager,Bouilloire,2,1452.08
2023-02-04,Maison,Canapé 3 places,3,738.69
2023-02-04,Mode,Robe été,3,889.56
2023-02-05,Maison,Canapé 3 places,1,246.23
2023-02-05,Maison,Set casseroles,2,1413.7
2023-02-05,Maison,Rideau occultant,3,303.63
2023-02-08,Sport,Vélo VTT,3,1635.63
2023-02-08,Sport,Ballon foot,1,100.1
2023-02-08,Mode,Robe été,3,889.56
2023-02-10,Mode,Pull laine,3,2653.47
2023-02-11,Mode,Pull laine,2,1680.53
2023-02-13,Bricolage,Échelle alu,1,354.67
2023-02-13,Mode,Jean homme,4,1034.63
2023-02-13,Électroménager,Bouilloire,4,2613.74
2023-02-15,Sport,Vélo VTT,2,1090.42
2023-02-15,Sport,Tapis yoga,1,658.36
2023-02-19,Mode,Baskets ville,2,828.92
2023-02-19,Maison,Couette 220x240,4,806.72
2023-02-19,Mode,T-shirt coton,4,2018.68
2023-02-21,Mode,Veste hiver,2,1311.98
2023-02-21,Mode,Pull laine,3,2653.47
2023-02-22,Sport,Haltères 10kg,1,98.3
2023-02-23,Électroménager,Aspirateur,2,382.36
2023-02-24,Électroménager,Micro-ondes,2,861.0
2023-02-25,Sport,Haltères 10kg,2,196.6
2023-02-25,Électroménager,Cafetière,3,1176.72
2023-02-27,Sport,Vélo VTT,4,2180.84
2023-02-27,Sport,Maillot bain,1,350.77
2023-02-28,Mode,Jean homme,2,544.54
2023-02-28,Sport,Vélo VTT,1,517.95
2023-03-01,Maison,Lampe LED,4,536.88
2023-03-03,Bricolage,Boîte à outils,2,166.42
2023-03-04,Sport,Ballon foot,4,400.4
2023-03-04,Sport,Vélo VTT,4,1744.67
2023-03-05,Mode,Robe été,1,281.69
2023-03-06,Bricolage,Peinture 5L,1,609.0
2023-03-07,Bricolage,Tournevis set,1,636.28
2023-03-07,Mode,Baskets ville,3,1312.45
2023-03-08,Mode,Pull laine,4,3537.96
2023-03-09,Maison,Set casseroles,4,2827.4
2023-03-11,Maison,Canapé 3 places,2,492.46
2023-03-11,Maison,Lampe LED,1,134.22
2023-03-12,Électroménager,Réfrigérateur,2,774.74
2023-03-12,Maison,Set casseroles,5,3534.25
2023-03-13,Mode,Baskets ville,1,460.51
2023-03-13,Électroménager,Aspirateur,3,544.86
2023-03-13,Maison,Étagère bois,2,559.18
2023-03-14,Maison,Canapé 3 places,4,935.67
2023-03-14,Mode,Jean homme,3,816.81
2023-03-16,Sport,Maillot bain,1,350.77
2023-03-16,Bricolage,Boîte à outils,3,249.63
2023-03-17,Sport,Haltères 10kg,1,98.3
2023-03-17,Mode,Veste hiver,5,3279.95
2023-03-19,Électroménager,Réfrigérateur,5,1936.85
2023-03-19,Électroménager,Robot cuiseur,5,1249.85
2023-03-19,Maison,Set casseroles,1,706.85
2023-03-20,Sport,Chaussures running,3,1708.59
2023-03-22,Sport,Haltères 10kg,2,196.6
2023-03-22,Maison,Couette 220x240,4,896.36
2023-03-24,Sport,Chaussures running,1,541.05
2023-03-24,Maison,Étagère bois,1,279.59
2023-03-24,Maison,Lampe LED,1,134.22
2023-03-25,Mode,Pull laine,2,1680.53
2023-03-25,Bricolage,Tournevis set,1,604.47
2023-03-27,Sport,Ballon foot,2,160.16
2023-03-27,Sport,Chaussures running,2,1025.15
2023-03-27,Maison,Lampe LED,2,268.44
2023-03-28,Électroménager,Réfrigérateur,2,774.74
2023-03-28,Électroménager,Bouilloire,3,2178.12
2023-03-28,Bricolage,Peinture 5L,4,2436.0
2023-03-28,Maison,Rideau occultant,1,101.21
2023-03-28,Mode,T-shirt coton,1,504.67
2023-03-29,Électroménager,Robot cuiseur,2,499.94
2023-03-29,Mode,Jean homme,2,544.54
2023-03-30,Sport,Vélo VTT,4,2180.84
2023-03-30,Bricolage,Boîte à outils,3,199.7
2023-03-31,Mode,Baskets ville,5,2302.55
2023-04-01,Maison,Étagère bois,2,559.18
2023-04-01,Sport,Raquette tennis,4,2824.76
2023-04-01,Mode,Robe été,5,1482.6
2023-04-02,Mode,Veste hiver,1,524.79
2023-04-04,Maison,Étagère bois,3,838.77
2023-04-04,Sport,Maillot bain,2,666.46
2023-04-05,Sport,Ballon foot,3,300.3
2023-04-05,Sport,Chaussures running,5,2847.65
2023-04-05,Électroménager,Micro-ondes,1,453.16
2023-04-06,Bricolage,Tournevis set,1,636.28
2023-04-07,Sport,Raquette tennis,3,2118.57
2023-04-07,Électroménager,Micro-ondes,3,1359.48
2023-04-08,Bricolage,Échelle alu,1,354.67
2023-04-08,Sport,Ballon foot,1,100.1
2023-04-11,Électroménager,Micro-ondes,5,2265.8
2023-04-13,Maison,Rideau occultant,1,96.15
2023-04-14,Électroménager,Micro-ondes,4,1631.38
2023-04-14,Maison,Set casseroles,3,2120.55
2023-04-15,Maison,Couette 220x240,3,672.27
2023-04-15,Mode,Robe été,2,593.04
2023-04-15,Mode,Veste hiver,2,1311.98
2023-04-16,Mode,Pull laine,5,3980.2
2023-04-17,Maison,Étagère bois,4,1118.36
2023-04-17,Électroménager,Robot cuiseur,4,999.88
2023-04-18,Maison,Set casseroles,5,3534.25
2023-04-19,Électroménager,Réfrigérateur,4,1549.48
2023-04-22,Électroménager,Bouilloire,3,2178.12
2023-04-22,Électroménager,Bouilloire,1,726.04
2023-04-23,Maison,Rideau occultant,2,202.42
2023-04-23,Mode,Pull laine,3,2653.47
2023-04-23,Électroménager,Aspirateur,1,191.18
2023-04-23,Électroménager,Robot cuiseur,1,249.97
2023-04-24,Électroménager,Robot cuiseur,4,999.88
2023-04-26,Électroménager,Réfrigérateur,2,619.79
2023-04-27,Mode,Jean homme,2,544.54
2023-04-28,Maison,Lampe LED,1,134.22
2023-04-28,Sport,Haltères 10kg,2,196.6
2023-04-29,Sport,Tapis yoga,4,2633.44
