isbn,titre,auteur,categorie,prix_vente_eur,stock,nb_pages,annee_premiere_publication
9783552044319,The Power and the Glory,Graham Greene,Classics,23.71,26,254,1940
9780575038479,The music of Africa,J. H. Kwabena Nketia,Music,22.15,28,,
9781119251736,Research methods for business,Uma Sekaran,Business,37.34,28,432,2003
9780756956691,Rising Storm,Erin Hunter,Fantasy,26.80,15,320,2004
978031212598X,History of Africa,Kevin Shillington,History,18.94,14,449,1989
9780224008884,Breakfast of Champions,Kurt Vonnegut,Classics,8.66,9,296,1973
9780072466652,Strategic marketing,David W. Cravens,Business,14.18,30,752,1982
9780062019813,Sweet Revenge,Lynsay Sands,Historical Fiction,18.08,38,388,2000
9780754000471,Into the heart of Borneo,Redmond O'Hanlon,Travel,14.28,26,191,1984
9783499174766,Die Zauberflöte,Wolfgang Amadeus Mozart,Music,4.59,19,87,1794
9780062457806,They Both Die at the End,Adam Silvera,Fiction,35.13,28,373,2017
9798585573934,Siddhartha,Hermann Hesse,Classics,23.74,29,140,1922
9781538500484,Restore me,Tahereh Mafi,Fiction,12.95,24,442,2018
9781405617093,The Prestige,Christopher Priest,Music,30.86,45,,
9781532913686,The princess saves herself in this one,Amanda Lovelace,Poetry,32.55,41,178,2016
9780373114306,Stormy Surrender,Patricia Wilson,Romance,22.28,37,192,1990
9782266208178,The Darkest Hour,,Fantasy,8.03,29,336,2004
9780898796827,Writing better lyrics,,Music,38.84,4,,
9780061492570,Post office,Charles Bukowski,Classics,29.02,41,160,1974
9780878210329,Poems,William Blake,Poetry,23.39,20,,
9780241950265,High Fidelity,Nick Hornby,Music,23.65,39,304,1995
9781408999233,Substitute Lover,Penny Jordan,Romance,39.81,5,,
9780553902716,The Lies of Locke Lamora,,Fantasy,35.39,28,544,2001
9780553539899,Are You My Mother?,P. D. Eastman,Childrens,15.98,3,,
9784871877664,Mandingo,Kyle Onstott,Historical Fiction,23.30,36,,
9780263790429,The Velvet Tiger,Emma Darcy,Romance,26.08,24,248,1992
9781439116050,The New Girl,Robert Lawrence Stine,Horror,9.57,29,168,1989
9780471119463,Geography,Harm J. de Blij,Science,36.32,29,617,1971
9780785748663,Dead Man's Folly,Agatha Christie,Mystery,20.14,22,217,1956
9780263751635,Fire with Fire,Penny Jordan,Romance,28.94,29,189,1985
9780241968154,All You Need to Know About the Music Business,Donald S. Passman,Music,21.61,15,510,1991
9780380813018,When the Laird Returns,Karen Ranney,Historical Fiction,29.25,1,384,2002
9780613642880,History of the Decline and Fall of the Roman Empire Complete and Unabridged,Edward Gibbon,History,24.53,43,636,1776
9780263053043,Mask of Scars,Anne Mather,Travel,30.88,18,192,1973
9798212378338,King Rat,James Clavell,Historical Fiction,12.25,12,391,1950
9780380821099,His Scandal,Gayle Callen,Historical Fiction,27.84,8,377,2002
9783442249329,Gardens of the Moon,Steven Erikson,Fantasy,15.44,28,635,1999
9780806246178,Cry Freedom,,Poetry,36.70,20,,
9780486851921,The Mystery of the Blue Train,Agatha Christie,Fiction,23.60,23,257,1928
9780563524922,The Lost Continent,Bill Bryson,Travel,13.60,30,319,1989
9781512157055,"The art of money getting, or, Golden rules for money getting",P. T. Barnum,Business,32.97,29,54,1880
9780434007493,Postwar,,History,34.95,43,915,2005
9780606309912,The Outsiders,S. E. Hinton,Fiction,17.45,25,192,1967
9780263808568,A Reason for Being,Penny Jordan,Romance,28.32,43,,
9780333675182,Poems,William Butler Yeats,Poetry,17.65,43,,
9780099439752,Bilbo's Last Song (At the Grey Havens),,Poetry,24.37,39,,
9780198118756,Poems,,Poetry,36.69,19,,
9781476878584,Wicked,,Music,5.82,31,96,2000
9789508700568,The End of Eternity,Isaac Asimov,Science,18.26,23,,
9780007493579,After the Funeral,Agatha Christie,Mystery,19.34,9,237,1953
9781250275042,Mickey7,Edward Ashton,Travel,26.29,17,320,2022
9781735056692,Twisted Hate,Ana Huang,Romance,38.15,23,,
9781548261887,Voyage Out,Virginia Woolf,Travel,39.12,22,,
9780843940008,Love's legacy,Kathryn Falk,Historical Fiction,38.09,29,,
9781451686296,Roughing It,Mark Twain,Travel,38.88,3,,
9780345313904,The Naked Sun,Isaac Asimov,Fiction,24.49,4,234,1954
9788417992491,The personal MBA,Josh Kaufman,Business,33.28,14,504,2010
9780373110926,No Man's Mistress,,Music,4.60,9,,
9783423763349,A Court of Silver Flames,Sarah J. Maas,Fantasy,8.39,1,768,2021
9788475842318,The Innocents Abroad,Mark Twain,Travel,25.35,1,,
9780833566980,Die Softly,,Mystery,23.12,4,,
9780061550676,The Grim Grotto,Lemony Snicket,Childrens,8.36,32,323,2004
9780446511070,The Geography of Bliss,Eric Weiner,Travel,36.67,42,,
9781531888176,The Demon-Haunted World,Carl Sagan,Science,6.65,30,472,1995
9781591846918,How to fail at almost everything and still win big,Scott Adams,Business,29.72,28,248,2013
9781448105618,In Patagonia,,Travel,6.83,17,,
9780849202476,Poems,Elizabeth Barrett Browning,Poetry,17.98,38,533,1844
9781442421844,Spy school,Stuart Gibbs,Childrens,8.01,44,290,2012
9780141309750,The Blue Sword,Robin McKinley,Childrens,24.02,13,,
9783550068751,Neither here nor there,Bill Bryson,Travel,33.79,25,272,1991
9780375507250,Cloud Atlas,,Historical Fiction,28.04,23,537,2004
9781428640382,Tour thro' the whole island of Great Britain,Daniel Defoe,Travel,7.73,5,424,1724
9785811232321,A Study of History,,History,33.24,35,,
9780064601375,Music theory,George Thaddeus Jones,Music,28.22,26,,
9780785740568,Fear Street - The New Boy,Robert Lawrence Stine,Horror,35.23,3,152,1993
9789388144346,The Law of Success,Napoleon Hill,Business,24.96,13,374,1969
9788476603819,Rocannon's World,Ursula K. Le Guin,Science Fiction,16.89,35,,
9781408999011,Bought with His Name,Penny Jordan,Romance,33.08,35,188,1982
9788499300023,The Road,Cormac McCarthy,Travel,27.25,1,256,2006
