order_item_id,order_id,product_id,quantity,unit_price,discount_pct
ITEM-0001,ORD-0001,PROD-001,2,49.99,0
ITEM-0002,ORD-0001,PROD-005,1,129.99,10
ITEM-0003,ORD-0002,PROD-002,1,79.99,0
ITEM-0004,ORD-0002,PROD-008,3,19.99,5
ITEM-0005,ORD-0003,PROD-003,1,199.99,15
ITEM-0006,ORD-0004,PROD-001,1,49.99,0
ITEM-0007,ORD-0004,PROD-004,2,34.99,0
ITEM-0008,ORD-0005,PROD-006,1,89.99,0
ITEM-0009,ORD-0006,PROD-007,2,59.99,10
ITEM-0010,ORD-0006,PROD-002,1,79.99,0
ITEM-0011,ORD-0007,PROD-009,1,149.99,0
ITEM-0012,ORD-0007,PROD-010,2,24.99,0
ITEM-0013,ORD-0008,PROD-003,1,199.99,20
ITEM-0014,ORD-0009,PROD-005,2,129.99,5
ITEM-0015,ORD-0010,PROD-001,3,49.99,0
ITEM-0016,ORD-0010,PROD-008,1,19.99,0
ITEM-0017,ORD-0011,PROD-011,1,299.99,10
ITEM-0018,ORD-0012,PROD-004,4,34.99,15
ITEM-0019,ORD-0013,PROD-006,2,89.99,0
ITEM-0020,ORD-0014,PROD-012,1,449.99,5
ITEM-0021,ORD-0015,PROD-002,2,79.99,0
ITEM-0022,ORD-0015,PROD-007,1,59.99,0
ITEM-0023,ORD-0016,PROD-013,1,599.99,0
ITEM-0024,ORD-0017,PROD-009,1,149.99,10
ITEM-0025,ORD-0018,PROD-010,5,24.99,20
ITEM-0026,ORD-0019,PROD-001,2,49.99,0
ITEM-0027,ORD-0020,PROD-014,1,199.99,0
ITEM-0028,ORD-0020,PROD-005,1,129.99,5
ITEM-0029,ORD-0021,PROD-003,2,199.99,10
ITEM-0030,ORD-0022,PROD-006,1,89.99,0
ITEM-0031,ORD-0023,PROD-015,1,79.99,0
ITEM-0032,ORD-0024,PROD-008,4,19.99,0
ITEM-0033,ORD-0025,PROD-011,1,299.99,15
ITEM-0034,ORD-0026,PROD-002,1,79.99,0
ITEM-0035,ORD-0026,PROD-016,2,44.99,0
ITEM-0036,ORD-0027,PROD-009,2,149.99,5
ITEM-0037,ORD-0028,PROD-004,3,34.99,0
ITEM-0038,ORD-0029,PROD-017,1,249.99,10
ITEM-0039,ORD-0030,PROD-001,1,49.99,0
ITEM-0040,ORD-0031,PROD-005,1,129.99,0
ITEM-0041,ORD-0032,PROD-018,1,169.99,0
ITEM-0042,ORD-0033,PROD-010,3,24.99,10
ITEM-0043,ORD-0034,PROD-012,1,449.99,0
ITEM-0044,ORD-0035,PROD-019,2,99.99,5
ITEM-0045,ORD-0035,PROD-007,1,59.99,0
