id_livraison,id_commande,id_vehicule,id_chauffeur,id_entrepot_depart,ville_destination,code_postal_destination,distance_km,date_depart,heure_depart,date_arrivee,heure_arrivee,statut,commentaire
1,1,2,2,1,Lyon,69007,8,2024-01-04,06:30,2024-01-04,07:15,livree,
2,2,3,3,1,Merignac,33700,556,2024-01-04,05:00,2024-01-04,14:30,livree,
3,3,1,1,1,Paris,75006,465,2024-01-04,04:00,2024-01-04,10:45,livree,
4,4,7,6,1,Villeurbanne,69100,5,2024-01-04,08:00,2024-01-04,08:35,livree,
5,5,6,5,1,Lyon,69001,6,2024-01-05,07:00,2024-01-05,07:50,livree,
6,6,8,8,1,Villeneuve-d'Ascq,59650,690,2024-01-05,03:00,2024-01-05,13:00,livree,retard 1h cause bouchons A1
7,7,10,4,1,Lomme,59160,695,2024-01-05,02:00,2024-01-05,11:30,livree,
8,8,2,2,1,Loos,59120,700,2024-01-05,04:00,2024-01-05,13:45,livree,
9,9,31,27,3,Lille,59000,12,2024-01-06,08:00,2024-01-06,08:45,livree,
10,10,17,17,2,Bordeaux,33000,5,2024-01-06,07:00,2024-01-06,07:40,livree,
11,11,18,18,2,Libourne,33500,35,2024-01-06,06:00,2024-01-06,07:15,livree,
12,12,23,20,2,Bordeaux,33300,8,2024-01-06,06:30,2024-01-06,07:20,livree,
13,13,26,24,2,Bordeaux,33000,3,2024-01-07,05:00,2024-01-07,06:00,livree,conteneur volumineux
14,14,3,3,1,Venissieux,69200,12,2024-01-07,04:00,2024-01-07,05:10,livree,
15,15,12,14,1,Paris,75005,465,2024-01-07,05:00,2024-01-07,11:30,livree,
16,16,7,6,1,Lyon,69002,4,2024-01-07,05:30,2024-01-07,06:00,livree,livraison fragile
17,17,5,4,1,Lyon,69003,3,2024-01-08,07:30,2024-01-08,08:05,livree,
18,18,13,11,1,Lesquin,59810,700,2024-01-08,03:00,2024-01-08,12:45,livree,materiel fragile - attention manutention
19,19,1,1,1,LYON,69006,5,2024-01-08,08:00,2024-01-08,08:40,livree,
20,20,16,16,2,Pessac,33600,12,2024-01-09,06:00,2024-01-09,06:50,livree,
21,21,29,22,2,Gradignan,33170,15,2024-01-09,07:00,2024-01-09,08:00,livree,
22,22,21,21,2,Talence,33400,10,2024-01-09,07:30,2024-01-09,08:20,livree,
23,23,30,25,2,Loos,59120,830,2024-01-09,02:00,2024-01-09,13:30,livree,
24,24,6,5,1,Ecully,69130,8,2024-01-10,06:30,2024-01-10,07:15,livree,produit dangereux - ADR
25,25,32,28,3,Lille,59800,5,2024-01-09,06:00,2024-01-09,06:30,livree,
26,26,35,31,3,Lyon,69005,660,2024-01-10,03:00,2024-01-10,12:00,livree,fleurs fragiles temperature controlee
27,27,36,33,3,Douai,59500,40,2024-01-10,06:00,,en_cours,chargement tres lourd
28,28,2,2,1,Lyon,69007,8,2024-01-10,05:00,2024-01-10,05:45,livree,urgence vaccins chaine du froid
29,30,15,13,1,Lyon,69001,6,2024-01-11,07:00,2024-01-11,07:45,livree,
30,31,10,4,1,Lomme,59160,695,2024-01-11,02:00,2024-01-11,11:15,livree,
31,32,39,30,3,Paris,75000,225,2024-01-12,04:00,2024-01-12,08:30,livree,
32,33,37,34,3,Villeneuve-d'Ascq,59650,15,2024-01-12,07:00,2024-01-12,07:50,livree,
33,34,31,27,3,Lille,59000,12,2024-01-12,08:00,2024-01-12,08:40,livree,
34,35,34,29,3,Loos,59120,8,2024-01-12,06:30,2024-01-12,07:10,livree,
35,36,17,17,2,Bordeaux,33000,5,2024-01-13,05:00,2024-01-13,05:40,livree,
36,37,26,24,2,Bordeaux,33000,3,2024-01-13,06:00,,en_cours,transit en attente dedouanement
37,38,1,1,1,Paris,75006,465,2024-01-13,04:00,2024-01-13,10:30,livree,
38,39,23,20,2,Bordeaux,33300,8,2024-01-13,07:00,2024-01-13,07:50,livree,
39,40,5,4,1,Villeurbanne,69100,5,2024-01-14,08:00,2024-01-14,08:30,livree,
40,41,18,18,2,Libourne,33500,35,2024-01-14,06:00,2024-01-14,07:10,livree,
41,42,3,3,1,Venissieux,69200,12,2024-01-14,04:00,2024-01-14,05:00,livree,
42,43,7,6,1,Lyon,69002,4,2024-01-14,05:00,2024-01-14,05:25,livree,livraison urgente patisserie
43,44,8,8,1,Lyon,69006,5,2024-01-15,08:00,2024-01-15,08:35,livree,
44,45,32,28,3,Lille,59000,5,2024-01-15,07:30,2024-01-15,08:00,livree,
45,46,13,11,1,Merignac,33700,556,2024-01-15,03:00,2024-01-15,12:30,livree,
46,47,6,5,1,Ecully,69130,8,2024-01-16,06:30,2024-01-16,07:10,livree,
47,48,10,4,1,Lyon,69003,3,2024-01-16,08:00,2024-01-16,08:25,livree,
48,49,34,29,3,Loos,59120,8,2024-01-16,06:00,2024-01-16,06:40,livree,
49,50,38,32,3,Lesquin,59810,10,2024-01-16,07:00,2024-01-16,07:45,livree,
50,1,2,2,1,Lyon,69007,8,2024-01-04,06:30,2024-01-04,07:15,livree,doublon a detecter
