id,raison_sociale,pays_declare,numero_tva,date_saisie,source_saisie
1,Nord Technologies GmbH,DK,DK73224645,2025-07-27,portail_client
2,Solaris Technologies SARL,PT,PT787327239,2024-03-29,reprise_erp
3,Verso Consulting NV,LU,LU71043234,2024-02-16,crm
4,Lumen Distribution Sp. z o.o.,SE,SE.751298146001,2024-02-27,import_fournisseur
5,Textil Services Oy,NL,NL505862176B88,2025-04-14,crm
6,Kappa Logistics AB,DK,DK61530843,2025-01-14,import_fournisseur
7,Textil Services Oy,NL,  NL505862176B88 ,2024-10-14,saisie_manuelle
8,Vertex Industries SARL,SE,SE.314125231601,2025-03-31,reprise_erp
9,Verso Services Oy,DK,DK48646344,2025-09-12,portail_client
10,Nord Transports NV,BE,BE1997422119,2024-09-07,portail_client
11,Hanse Distribution SAS,FI,FI.84564443,2024-01-01,saisie_manuelle
12,Lusitania Trading Sp. z o.o.,NL,NL767957817B57,2024-02-29,saisie_manuelle
13,Alpine Technologies SAS,SE,SE-353056663101,2024-01-04,portail_client
14,Alpine Logistics Sp. z o.o.,SE,SE1861093621016,2025-05-07,import_fournisseur
15,Baltic Industries SAS,PT,PT901258090,2025-09-07,import_fournisseur
16,Baltic Consulting AB,NL,NL962988030B37,2024-05-07,import_fournisseur
17,Granit Logistics SAS,GB,GB0749640348,2025-05-15,import_fournisseur
18,Orion Foods SARL,BE,BE1628475293,2024-03-01,saisie_manuelle
19,Metallo Services Oy,BE,BE0605238824,2025-05-12,portail_client
20,Metallo Consulting SARL,FR,FR63432337650,2024-04-21,import_fournisseur
21,Fabrica Transports A/S,LU,LU45829332,2024-05-10,import_fournisseur
22,Textil Technologies BV,PT,PT615054116,2025-05-29,saisie_manuelle
23,Solaris Industries GmbH,FR,  FR58658124710 ,2024-05-12,saisie_manuelle
24,Nord Technologies GmbH,DK,DK73224645,2024-12-03,portail_client
25,Metallo Distribution BV,DK,DK43075659,2025-09-11,import_fournisseur
26,Verso Foods A/S,PT,-,2024-11-28,import_fournisseur
27,Lumen Distribution NV,BE,BE0311256964,2024-02-27,crm
28,Meridian Industries Lda,FR,FR14760307373,2024-08-14,reprise_erp
29,Corvus Logistics SARL,SE,SE538701827701,2024-08-14,reprise_erp
30,Meridian Materials A/S,FR,FR84248701951,2024-02-10,crm
31,Metallo Transports Oy,PT,  PT682102423 ,2025-04-22,reprise_erp
32,Batavia Services SARL,FI,FI77720866,2024-01-26,reprise_erp
33,Ardent Distribution Lda,BE,BE0232035282,2024-03-14,crm
34,Lusitania Logistics NV,DK,DK-72344081,2024-03-20,portail_client
35,Lusitania Transports SARL,ZZ,ZZ23140153,2024-01-14,portail_client
36,Atlantic Technologies Lda,PL,PL5047493384,2024-12-25,crm
37,Lumen Distribution A/S,FI,FI4715363,2024-06-04,crm
38,Granit Trading AB,FI,  FI26606369 ,2024-11-30,crm
39,Global Distribution Sp. z o.o.,LU,LU6918091,2025-01-19,reprise_erp
40,Prima Distribution GmbH,BE,BE124376636,2024-08-11,portail_client
41,Orion Technologies SA,BE,BE02690132662,2024-03-25,crm
42,Baltic Technologies Lda,PL,PL4321225090,2024-03-14,reprise_erp
43,Solaris Trading SAS,SE,SE119195863401,2024-05-28,reprise_erp
44,Papyrus Distribution Sp. z o.o.,BE,BE1290480179,2025-03-07,crm
45,Global Transports SA,PT,PT544274741,2024-12-31,reprise_erp
46,Alpine Consulting SpA,SE,SE428761352801,2025-04-26,portail_client
47,Lusitania Services Sp. z o.o.,SE,  SE011690000201 ,2024-11-16,portail_client
48,Granit Materials BV,NL,  NL413400931B49 ,2025-02-26,crm
49,Fabrica Industries A/S,PL,PL 7963 612947,2025-08-21,import_fournisseur
50,Hanse Consulting AB,NL,NL.966200093B26,2024-06-07,crm
